rank,farmer_id,season,est_tons_t,delivered_tons,delivered_value_t,n_deliveries_t,crop_diversity_t,last_delivery_date,input_count_t,last_input_date,loan_count_t,season_idx,village,district,state,landholding_acres,collection_distance_km,join_year,lat,lon,rain_dev_t,retention_t,delivered_prev,delivered_prev2,value_prev,retention_prev,rain_dev_prev,last_input_ff,next_delivered,next_est,rain_dev_next,label,recency_days,input_recency_days,retention_trend,monetary_12m,active_3s,tenure_years,drought_exposure,segment,risk_prob,risk_prob_raw,flagged,drought_stress,recommended_action,risk_tier,main_crop
11,F02685,2024-R,1.345,0.29700000000000004,21443.399999999998,2,1,2025-03-07,1,2025-01-15,0,11,Sakarda,Yavatmal,Maharashtra,1.87,9.5,2024,20.3367,77.8716,-0.0654,0.22081784386617104,,,0.0,0.22081784386617104,-0.0654,2025-01-15,,,,,85.0,136.0,0.0,21443.399999999998,1,0,-0.0654,Severing,0.9377309682187731,0.932210828761078,True,False,Loyalty intervention: visit + advance-payment contract,Critical,Gram
12,F01050,2024-R,3.136,0.949,68707.6,2,1,2025-04-21,0,,0,11,Dabha,Yavatmal,Maharashtra,5.07,17.5,2017,20.291,77.9688,-0.0654,0.3026147959183673,2.595,3.208,248347.35,0.7545798197150335,-0.0926,2024-06-08,,,,,40.0,357.0,-0.4519650237966662,317054.95,3,7,-0.0926,Champions,0.9180439666238768,0.9359965085703243,True,False,Loyalty intervention: visit + advance-payment contract,Critical,Cotton
13,F01009,2024-R,1.102,0.28500000000000003,20577.6,3,1,2025-05-06,0,,1,11,Ambodi,Yavatmal,Maharashtra,1.45,21.7,2017,19.879,78.3297,-0.0654,0.25862068965517243,0.6890000000000001,0.9100000000000001,61768.85,0.7095777548918641,-0.0926,2024-07-03,,,,,25.0,332.0,-0.4509570652366917,82346.45,3,7,-0.0926,Loyal Core,0.9114151787450889,0.9236028088701204,True,False,Loyalty intervention: visit + advance-payment contract,Critical,Cotton
14,F01420,2024-R,7.892,1.608,47355.6,1,1,2025-05-13,0,,0,11,Khedgaon,Nashik,Maharashtra,4.21,17.7,2018,20.2495,74.0184,-0.0665,0.20375063355296502,1.097,4.6739999999999995,31209.65,0.12721790560129886,-0.342,2024-07-04,,,,,18.0,331.0,0.07653272795166616,78565.25,3,6,-0.342,Loyal Core,0.9114151787450889,0.9155429447780373,True,False,Loyalty intervention: visit + advance-payment contract,Critical,Wheat
15,F01530,2024-R,2.612,0.553,40341.35,1,1,2025-04-03,1,2024-12-10,0,11,Jatwada,Aurangabad,Maharashtra,3.3,29.2,2016,19.9206,75.0815,-0.0237,0.21171516079632466,1.406,1.116,88929.5,0.49822820694542874,-0.0634,2024-12-10,,,,,58.0,172.0,-0.2865130461491041,129270.85,3,8,-0.0634,Stable,0.9114151787450889,0.9041263034807676,True,False,Loyalty intervention: visit + advance-payment contract,Critical,Mustard
16,F02690,2024-R,1.984,0.526,15464.4,3,1,2025-05-06,1,2024-12-01,0,11,Sirsam,Nashik,Maharashtra,1.01,26.0,2024,19.7978,73.9837,-0.0665,0.2651209677419355,,,0.0,0.2651209677419355,-0.0665,2024-12-01,,,,,25.0,181.0,0.0,15464.4,1,0,-0.0665,Stable,0.9114151787450889,0.9206485707257254,True,False,Loyalty intervention: visit + advance-payment contract,Critical,Wheat
17,F01152,2024-R,3.122,0.996,74700.0,2,1,2025-04-26,3,2024-12-18,0,11,Vadki,Yavatmal,Maharashtra,4.14,21.7,2015,20.257,77.9854,-0.0654,0.31902626521460603,2.3320000000000003,2.369,213943.19999999998,0.7539605560944068,-0.0926,2024-12-18,,,,,35.0,164.0,-0.4349342908798008,288643.19999999995,3,9,-0.0926,Loyal Core,0.8746504728627359,0.8714051779856391,True,False,Loyalty intervention: visit + advance-payment contract,Critical,Gram
18,F01164,2024-R,7.458,1.985,54389.0,2,1,2025-04-09,1,2024-12-16,0,11,Borgaon,Amravati,Maharashtra,3.53,24.4,2019,20.7194,77.5809,-0.0144,0.2661571466881201,2.54,4.369000000000001,148658.0,0.7767584097859327,-0.0698,2024-12-16,,,,,52.0,166.0,-0.5106012630978125,203047.0,3,5,-0.0698,Loyal Core,0.8746504728627359,0.8960551485958038,True,False,Loyalty intervention: visit + advance-payment contract,Critical,Wheat
19,F01538,2024-R,8.261,2.2190000000000003,95117.0,3,2,2025-04-30,0,,0,11,Jatwada,Aurangabad,Maharashtra,3.08,24.3,2016,19.9206,75.0815,-0.0237,0.2686115482387121,2.044,5.805,113339.8,0.7313059033989266,-0.0634,2024-07-09,,,,,31.0,326.0,-0.46269435516021457,208456.8,3,8,-0.0634,Loyal Core,0.8746504728627359,0.9065049054853,True,False,Loyalty intervention: visit + advance-payment contract,Critical,Wheat
20,F01548,2024-R,3.003,1.022,45081.4,3,2,2025-03-15,0,,0,11,Karmad,Aurangabad,Maharashtra,1.17,4.9,2019,19.9297,75.4488,-0.0237,0.3403263403263403,0.9189999999999999,2.664,54221.0,0.8669811320754716,-0.0634,2024-07-13,,,,,77.0,322.0,-0.5266547917491313,99302.4,3,5,-0.0634,Stable,0.8746504728627359,0.8923716343693364,True,False,Loyalty intervention: visit + advance-payment contract,Critical,Mustard
21,F02222,2024-R,1.925,0.542,42872.2,2,1,2025-04-20,1,2025-01-13,0,11,Padegaon,Aurangabad,Maharashtra,2.38,14.7,2019,19.8646,75.3922,-0.0237,0.28155844155844156,0.597,1.479,35133.45,0.2713636363636363,-0.0634,2025-01-13,,,,,41.0,138.0,0.010194805194805256,78005.65,3,5,-0.0634,Stable,0.8683575666842462,0.8439802195890642,True,False,Loyalty intervention: visit + advance-payment contract,Critical,Mustard
22,F02638,2024-R,8.698,2.656,74235.2,2,1,2025-05-08,1,2024-12-20,0,11,Ozar,Nashik,Maharashtra,4.41,10.1,2024,20.1937,73.533,-0.0665,0.30535755346056564,0.639,,18115.65,0.06747624076029567,-0.342,2024-12-20,,,,,23.0,162.0,0.23788131270026996,92350.85,2,0,-0.342,Stable,0.8683575666842462,0.8877785644136859,True,False,Loyalty intervention: visit + advance-payment contract,Critical,Paddy
23,F02365,2024-R,1.106,0.24900000000000003,18763.6,3,1,2025-05-11,0,,0,11,Piploda,Ratlam,Madhya Pradesh,1.38,9.3,2020,23.1876,75.1093,0.0166,0.2251356238698011,0.91,0.628,82490.75,0.6156968876860622,0.0516,2024-07-14,,,,,20.0,321.0,-0.3905612638162611,101254.35,3,4,0.0166,Loyal Core,0.8553653289208999,0.8584100482192811,True,False,Loyalty intervention: visit + advance-payment contract,Critical,Mustard
24,F01320,2024-R,7.751,1.149,32172.0,2,1,2025-05-10,4,2025-01-13,0,11,Dindori,Nashik,Maharashtra,3.73,9.3,2018,20.0963,73.6085,-0.0665,0.14823893691136628,0.966,3.411,25743.9,0.11374072765807135,-0.342,2025-01-13,,,,,21.0,138.0,0.03449820925329493,57915.9,3,6,-0.342,Loyal Core,0.8371922550311297,0.8682736537532065,True,False,Loyalty intervention: visit + advance-payment contract,Critical,Wheat
25,F02420,2024-R,9.545,3.378,94752.9,1,1,2025-03-16,0,,0,11,Palkhed,Nashik,Maharashtra,4.78,9.2,2021,19.9121,73.9102,-0.0665,0.3539025667888947,0.758,4.114000000000001,20958.7,0.0765501918804282,-0.342,2023-12-15,,,,,76.0,533.0,0.2773523749084665,115711.59999999999,3,3,-0.342,Stable,0.7931869892317324,0.8254412086503672,True,False,Loyalty intervention: visit + advance-payment contract,Critical,Wheat
26,F02549,2024-R,0.759,0.13799999999999998,9818.7,1,1,2025-03-21,0,,0,11,Piploda,Ratlam,Madhya Pradesh,0.95,9.3,2023,23.1876,75.1093,0.0166,0.1818181818181818,0.563,0.37000000000000005,46050.6,0.5423892100192678,0.0516,2024-06-09,,,,,71.0,356.0,-0.360571028201086,55869.3,3,1,0.0166,Needs Attention,0.7845125164690383,0.8203247025246914,True,False,Loyalty intervention: visit + advance-payment contract,Critical,Groundnut
27,F02643,2024-R,11.823,3.706,109882.9,2,1,2025-04-06,0,,0,11,Sirsam,Nashik,Maharashtra,6.34,26.0,2024,19.7978,73.9837,-0.0665,0.31345682144971665,0.9710000000000001,,26119.9,0.07774841860837538,-0.342,2024-07-10,,,,,55.0,325.0,0.23570840284134126,136002.8,2,0,-0.342,Stable,0.7546212121212121,0.8386878749217024,True,False,Loyalty intervention: visit + advance-payment contract,Critical,Paddy
28,F02689,2024-R,2.41,0.867,63002.0,2,1,2025-05-13,1,2025-01-07,0,11,Namli,Ratlam,Madhya Pradesh,3.2,23.9,2024,23.5949,74.8121,0.0166,0.35975103734439834,,,0.0,0.35975103734439834,0.0166,2025-01-07,,,,,18.0,144.0,0.0,63002.0,1,0,0.0166,Stable,0.73,0.7765752617506979,False,False,Loyalty intervention: visit + advance-payment contract,Critical,Mustard
29,F01580,2024-R,1.08,0.293,21901.75,1,1,2025-03-07,5,2025-01-05,0,11,Padegaon,Aurangabad,Maharashtra,1.57,12.7,2016,19.8646,75.3922,-0.0237,0.27129629629629626,1.366,0.927,74856.8,0.939477303988996,-0.0634,2025-01-05,,,,,85.0,146.0,-0.6681810076926997,96758.55,3,8,-0.0634,Stable,0.7254545454545455,0.7525257691881313,False,False,Loyalty intervention: visit + advance-payment contract,Critical,Mustard
30,F01546,2024-R,1.508,0.5660000000000001,42591.5,2,1,2025-05-06,0,,0,11,Karmad,Aurangabad,Maharashtra,1.87,8.8,2017,19.9297,75.4488,-0.0237,0.3753315649867374,1.481,1.103,99671.3,0.8810232004759072,-0.0634,2024-06-10,,,,,25.0,355.0,-0.5056916354891698,142262.8,3,7,-0.0634,Loyal Core,0.7221908156084738,0.7821314337716905,False,False,Loyalty intervention: visit + advance-payment contract,Critical,Mustard
31,F01348,2024-R,5.874,2.219,59913.0,1,1,2025-03-31,2,2025-01-02,0,11,Palkhed,Nashik,Maharashtra,3.26,8.4,2015,19.9121,73.9102,-0.0665,0.3777664283282261,0.447,2.908,12784.2,0.0669763260413545,-0.342,2025-01-02,,,,,61.0,149.0,0.3107901022868716,72697.2,3,9,-0.342,Stable,0.7008333333333333,0.7793171477601869,False,False,Loyalty intervention: visit + advance-payment contract,Critical,Paddy
32,F01394,2024-R,9.013,3.137,87992.85,2,1,2025-05-08,0,,0,11,Vani,Nashik,Maharashtra,4.6,6.5,2017,20.178,73.8491,-0.0665,0.34805281260401644,1.906,5.2620000000000005,52224.4,0.17869866866679165,-0.342,2024-06-09,,,,,23.0,356.0,0.16935414393722478,140217.25,3,7,-0.342,Loyal Core,0.7008333333333333,0.789920870316315,False,False,Loyalty intervention: visit + advance-payment contract,Critical,Paddy
33,F02068,2024-R,1.678,0.593,46817.35,1,1,2025-03-05,0,,3,11,Bajna,Ratlam,Madhya Pradesh,2.09,8.4,2016,23.5084,75.2526,0.0166,0.3533969010727056,1.972,1.4300000000000002,166732.6,0.8547897702644127,0.0516,2024-06-14,,,,,87.0,351.0,-0.5013928691917071,213549.95,3,8,0.0166,Loyal Core,0.6928202950247,0.7367310525162161,False,False,Loyalty intervention: visit + advance-payment contract,Critical,Groundnut
34,F02673,2024-R,1.969,0.7400000000000001,20692.0,2,1,2025-05-08,3,2025-01-14,0,11,Borgaon,Amravati,Maharashtra,1.05,21.4,2024,20.7194,77.5809,-0.0144,0.3758252920264094,,,0.0,0.3758252920264094,-0.0144,2025-01-14,,,,,23.0,137.0,0.0,20692.0,1,0,-0.0144,Stable,0.662142857142857,0.7387663926975182,False,False,Loyalty intervention: visit + advance-payment contract,Critical,Wheat
35,F01366,2024-R,14.752,4.733,118561.65,1,1,2025-04-03,5,2025-01-05,0,11,Ozar,Nashik,Maharashtra,7.79,8.3,2017,20.1937,73.533,-0.0665,0.32083785249457697,1.71,5.59,46426.5,0.1127893938394565,-0.342,2025-01-05,,,,,58.0,146.0,0.20804845865512045,164988.15,3,7,-0.342,Loyal Core,0.6413095238095238,0.779887828289828,False,False,Loyalty intervention: visit + advance-payment contract,High,Paddy
36,F02328,2024-R,17.065,5.321,155639.25,1,1,2025-04-08,0,,0,11,Sirsam,Nashik,Maharashtra,9.12,26.0,2020,19.7978,73.9837,-0.0665,0.3118077937298564,2.787,8.883,68420.85,0.13326638932721274,-0.342,2024-07-09,,,,,53.0,326.0,0.17854140440264366,224060.1,3,4,-0.342,Loyal Core,0.5411111111111111,0.7835053138071082,False,False,Loyalty intervention: visit + advance-payment contract,High,Paddy
37,F01393,2024-R,5.467,2.143,62361.3,1,1,2025-05-06,1,2024-12-03,1,11,Vani,Nashik,Maharashtra,2.95,7.5,2015,20.178,73.8491,-0.0665,0.39198829339674407,0.726,2.837,19747.2,0.1111791730474732,-0.342,2024-12-03,,,,,25.0,179.0,0.28080912034927086,82108.5,3,9,-0.342,Loyal Core,0.5400609178574751,0.7057568766317569,False,False,Loyalty intervention: visit + advance-payment contract,High,Paddy
38,F02671,2024-R,24.24,2.6310000000000002,66433.0,2,1,2025-04-16,0,,0,11,Bicholi,Indore,Madhya Pradesh,12.0,26.1,2024,22.45,75.8249,-0.2032,0.10853960396039605,,,0.0,0.10853960396039605,-0.2032,,,,,,45.0,999.0,0.0,66433.0,1,0,-0.2032,Needs Attention,0.47875582441827735,0.6835722229462391,False,True,Drought response: emergency liquidity + insurance linkage,High,Wheat
39,F02678,2024-R,6.378,0.963,27253.0,2,1,2025-04-10,0,,0,11,Mangliya,Indore,Madhya Pradesh,3.18,11.9,2024,22.795,76.0785,-0.2032,0.15098777046095954,,,0.0,0.15098777046095954,-0.2032,,,,,,51.0,999.0,0.0,27253.0,1,0,-0.2032,At Risk,0.4769916495329787,0.6937256534617134,False,True,Drought response: emergency liquidity + insurance linkage,High,Wheat
40,F02663,2024-R,7.444,0.539,15874.0,1,1,2025-04-18,1,2024-12-23,0,11,Bicholi,Indore,Madhya Pradesh,4.09,26.1,2024,22.45,75.8249,-0.2032,0.07240730789897905,,,0.0,0.07240730789897905,-0.2032,2024-12-23,,,,,43.0,159.0,0.0,15874.0,1,0,-0.2032,Needs Attention,0.4735692818588926,0.6165813695871651,False,True,Drought response: emergency liquidity + insurance linkage,High,Wheat
41,F02687,2024-R,1.405,0.33699999999999997,25814.0,2,1,2025-03-21,0,,0,11,Khategaon,Dewas,Madhya Pradesh,1.82,7.6,2024,22.9402,76.2985,-0.1913,0.23985765124555158,,,0.0,0.23985765124555158,-0.1913,,,,,,71.0,999.0,0.0,25814.0,1,0,-0.1913,Severing,0.4237845497238199,0.6470982165419582,False,True,Drought response: emergency liquidity + insurance linkage,High,Mustard
42,F02669,2024-R,1.494,0.397,28882.0,2,1,2025-04-26,0,,0,11,Sonkatch,Dewas,Madhya Pradesh,1.69,5.6,2024,22.8715,75.9875,-0.1913,0.26572958500669347,,,0.0,0.26572958500669347,-0.1913,,,,,,35.0,999.0,0.0,28882.0,1,0,-0.1913,Needs Attention,0.41899209058896353,0.6372122314782209,False,True,Drought response: emergency liquidity + insurance linkage,High,Mustard
43,F02616,2024-R,1.083,0.28700000000000003,21597.0,2,1,2025-04-22,0,,0,11,Bagli,Dewas,Madhya Pradesh,1.35,11.6,2024,22.9642,75.93,-0.1913,0.26500461680517085,0.44899999999999995,,27128.0,0.3552215189873417,-0.2471,2024-06-28,,,,,39.0,337.0,-0.09021690218217088,48725.0,2,0,-0.2471,Stable,0.39825396825396825,0.6326056664917606,False,True,Drought response: emergency liquidity + insurance linkage,Moderate,Mustard
44,F02510,2024-R,1.576,0.24200000000000002,18681.0,2,1,2025-04-19,2,2025-01-04,0,11,Khategaon,Dewas,Madhya Pradesh,2.1,7.6,2022,22.9402,76.2985,-0.1913,0.1535532994923858,0.47100000000000003,0.973,29610.0,0.26152137701277073,-0.2471,2025-01-04,,,,,42.0,147.0,-0.10796807752038493,48291.0,3,2,-0.2471,Stable,0.38472036214404676,0.6385755914391504,False,True,Drought response: emergency liquidity + insurance linkage,Moderate,Mustard
45,F02683,2024-R,1.399,0.217,6000.0,1,1,2025-04-19,2,2025-01-08,0,11,Bicholi,Indore,Madhya Pradesh,0.72,26.1,2024,22.45,75.8249,-0.2032,0.15511079342387418,,,0.0,0.15511079342387418,-0.2032,2025-01-08,,,,,42.0,143.0,0.0,6000.0,1,0,-0.2032,Needs Attention,0.36451365885675485,0.6048317962824282,False,True,Drought response: emergency liquidity + insurance linkage,Moderate,Wheat
46,F02640,2024-R,4.058,1.083,77217.0,2,1,2025-03-30,2,2024-12-27,0,11,Khategaon,Dewas,Madhya Pradesh,5.35,7.6,2024,22.9402,76.2985,-0.1913,0.2668802365697388,0.9460000000000001,,57422.0,0.19030376181854758,-0.2471,2024-12-27,,,,,62.0,155.0,0.07657647475119123,134639.0,2,0,-0.2471,Stable,0.34348852986188894,0.6571027670317932,False,True,Drought response: emergency liquidity + insurance linkage,Moderate,Mustard
47,F02688,2024-R,15.537,3.0010000000000003,82977.65,2,1,2025-04-18,0,,0,11,Unhel,Ujjain,Madhya Pradesh,7.9,20.5,2024,23.3393,75.8667,-0.2845,0.19315183111282747,,,0.0,0.19315183111282747,-0.2845,,,,,,43.0,999.0,0.0,82977.65,1,0,-0.2845,Needs Attention,0.3053751803751804,0.602546744706717,False,True,Drought response: emergency liquidity + insurance linkage,Moderate,Wheat
48,F02041,2024-R,1.056,0.329,23496.0,2,1,2025-04-06,0,,0,11,Udaynagar,Dewas,Madhya Pradesh,1.33,14.0,2019,23.015,75.8311,-0.1913,0.3115530303030303,0.512,0.798,32819.0,0.4288107202680067,-0.2471,2024-06-09,,,,,55.0,356.0,-0.11725768996497643,56315.0,3,5,-0.2471,Stable,0.28750623606472075,0.5379611384857681,False,True,Drought response: emergency liquidity + insurance linkage,Moderate,Mustard
49,F01577,2024-R,1.042,0.405,30051.0,2,1,2025-05-15,1,2025-01-08,0,11,Padegaon,Aurangabad,Maharashtra,1.23,14.0,2019,19.8646,75.3922,-0.0237,0.3886756238003839,0.38,0.521,21660.0,0.38934426229508196,-0.0634,2025-01-08,,,,,16.0,143.0,-0.0006686384946980595,51711.0,3,5,-0.0634,Loyal Core,0.28224139446841123,0.6250625605762723,False,False,Loyalty intervention: visit + advance-payment contract,Moderate,Mustard
50,F02046,2024-R,2.249,0.5810000000000001,43715.0,3,1,2025-05-10,2,2025-01-02,0,11,Udaynagar,Dewas,Madhya Pradesh,2.86,14.7,2015,23.015,75.8311,-0.1913,0.2583370386838595,0.384,1.46,23981.0,0.15861214374225527,-0.2471,2025-01-02,,,,,21.0,149.0,0.09972489494160422,67696.0,3,9,-0.2471,Loyal Core,0.27679233995597746,0.5898895950420155,False,True,Drought response: emergency liquidity + insurance linkage,Moderate,Mustard
