txn_id,date,season,gid,farmer_id,txn_type,item,qty_tons,rate_inr,amount_inr
T003666,2019-06-01,2019-K,BRD-DWS,F02013,INPUT_PURCHASE,Other,0.305,458.0,139830.0
T002828,2019-06-01,2019-K,BRD-UJN,F01773,INPUT_PURCHASE,Seeds,0.203,116.94,23738.82
T003244,2019-06-01,2019-K,BRD-UJN,F01896,INPUT_PURCHASE,Fertilizer,0.167,45.67,7626.89
T004368,2019-06-01,2019-K,BRD-RTL,F02196,INPUT_PURCHASE,Seeds,0.116,61.69,7156.04
T002684,2019-06-01,2019-K,BRD-IND,F01730,INPUT_PURCHASE,Fertilizer,0.124,48.0,6009.0
T000811,2019-06-01,2019-K,BRD-AMT,F01195,INPUT_PURCHASE,Seeds,0.223,78.0,17492.0
T001040,2019-06-01,2019-K,BRD-AMT,F01252,INPUT_PURCHASE,Fertilizer,0.215,52.0,11184.0
T004532,2019-06-01,2019-K,BRD-AMT,F02234,INPUT_PURCHASE,Fertilizer,0.317,40.0,12547.0
T000286,2019-06-01,2019-K,BRD-YTM,F01067,INPUT_PURCHASE,Fertilizer,0.134,52.15,6988.1
T001828,2019-06-01,2019-K,BRD-AUR,F01474,INPUT_PURCHASE,Other,0.096,608.61,58426.56
T003498,2019-06-01,2019-K,BRD-DWS,F01963,INPUT_PURCHASE,Fertilizer,0.305,59.0,18090.0
T001399,2019-06-01,2019-K,BRD-NSK,F01341,INPUT_PURCHASE,Seeds,0.117,103.82,12146.94
T003841,2019-06-01,2019-K,BRD-RTL,F02063,INPUT_PURCHASE,Fertilizer,0.192,32.0,6144.0
T003463,2019-06-01,2019-K,BRD-DWS,F01952,INPUT_PURCHASE,Plant Protection,0.181,154.0,27883.0
T001520,2019-06-01,2019-K,BRD-NSK,F01378,INPUT_PURCHASE,Seeds,0.218,125.53,27365.54
T003451,2019-06-01,2019-K,BRD-DWS,F01950,INPUT_PURCHASE,Fertilizer,0.104,40.0,4175.0
T000993,2019-06-01,2019-K,BRD-AMT,F01239,INPUT_PURCHASE,Fertilizer,0.183,39.0,7210.0
T000857,2019-06-01,2019-K,BRD-AMT,F01206,INPUT_PURCHASE,Plant Protection,0.297,560.0,166344.0
T003437,2019-06-01,2019-K,BRD-DWS,F01946,INPUT_PURCHASE,Fertilizer,0.089,51.0,4530.0
T001745,2019-06-01,2019-K,BRD-NSK,F01448,INPUT_PURCHASE,Fertilizer,0.064,52.27,3345.28
T004113,2019-06-01,2019-K,BRD-RTL,F02129,INPUT_PURCHASE,Fertilizer,0.175,51.43,9000.25
T002511,2019-06-01,2019-K,BRD-IND,F01681,INPUT_PURCHASE,Seeds,0.059,61.0,3574.0
T003622,2019-06-01,2019-K,BRD-DWS,F01999,INPUT_PURCHASE,Fertilizer,0.064,58.0,3684.0
T001258,2019-06-01,2019-K,BRD-NSK,F01301,INPUT_PURCHASE,Seeds,0.315,71.16,22415.4
T001597,2019-06-01,2019-K,BRD-NSK,F01403,INPUT_PURCHASE,Fertilizer,0.274,58.67,16075.58
T004494,2019-06-01,2019-K,BRD-IND,F02226,INPUT_PURCHASE,Seeds,0.112,129.0,14456.0
T002499,2019-06-01,2019-K,BRD-IND,F01677,LOAN_REPAY,Loan EMI,,,5600.0
T001755,2019-06-01,2019-K,BRD-NSK,F01452,INPUT_PURCHASE,Other,0.082,294.76,24170.32
T003694,2019-06-01,2019-K,BRD-DWS,F02020,LOAN_REPAY,Loan EMI,,,5600.0
T003130,2019-06-01,2019-K,BRD-UJN,F01860,INPUT_PURCHASE,Fertilizer,0.169,34.0,5746.0
T004456,2019-06-01,2019-K,BRD-RTL,F02215,INPUT_PURCHASE,Seeds,0.311,61.41,19098.51
T002091,2019-06-01,2019-K,BRD-AUR,F01548,INPUT_PURCHASE,Seeds,0.25,129.78,32445.0
T000666,2019-06-01,2019-K,BRD-AMT,F01158,INPUT_PURCHASE,Fertilizer,0.122,34.0,4194.0
T002965,2019-06-01,2019-K,BRD-UJN,F01814,INPUT_PURCHASE,Seeds,0.316,126.95,40116.2
T003260,2019-06-01,2019-K,BRD-UJN,F01899,INPUT_PURCHASE,Plant Protection,0.056,589.15,32992.4
T003736,2019-06-01,2019-K,BRD-DWS,F02032,INPUT_PURCHASE,Seeds,0.171,89.0,15284.0
T000660,2019-06-01,2019-K,BRD-AMT,F01156,INPUT_PURCHASE,Fertilizer,0.152,55.0,8386.0
T000103,2019-06-01,2019-K,BRD-YTM,F01024,INPUT_PURCHASE,Seeds,0.087,78.73,6849.51
T002213,2019-06-02,2019-K,BRD-AUR,F01587,INPUT_PURCHASE,Fertilizer,0.089,58.39,5196.71
T003412,2019-06-02,2019-K,BRD-DWS,F01939,INPUT_PURCHASE,Fertilizer,0.251,59.0,14887.0
T002268,2019-06-02,2019-K,BRD-AUR,F01604,INPUT_PURCHASE,Fertilizer,0.209,50.42,10537.78
T003826,2019-06-02,2019-K,BRD-DWS,F02060,INPUT_PURCHASE,Fertilizer,0.181,52.0,9466.0
T001583,2019-06-02,2019-K,BRD-NSK,F01397,INPUT_PURCHASE,Seeds,0.06,118.02,7081.2
T000878,2019-06-02,2019-K,BRD-AMT,F01212,INPUT_PURCHASE,Plant Protection,0.239,536.0,128023.0
T001395,2019-06-02,2019-K,BRD-NSK,F01340,INPUT_PURCHASE,Fertilizer,0.229,47.74,10932.46
T002647,2019-06-02,2019-K,BRD-IND,F01719,INPUT_PURCHASE,Fertilizer,0.094,40.0,3807.0
T002515,2019-06-02,2019-K,BRD-IND,F01682,INPUT_PURCHASE,Fertilizer,0.206,52.0,10650.0
T002260,2019-06-02,2019-K,BRD-AUR,F01601,INPUT_PURCHASE,Other,0.093,600.37,55834.41
T003806,2019-06-02,2019-K,BRD-DWS,F02056,INPUT_PURCHASE,Fertilizer,0.162,50.0,8098.0
T004023,2019-06-02,2019-K,BRD-RTL,F02107,INPUT_PURCHASE,Fertilizer,0.117,51.77,6057.09
T001977,2019-06-02,2019-K,BRD-AUR,F01517,LOAN_REPAY,Loan EMI,,,1900.0
T001010,2019-06-02,2019-K,BRD-AMT,F01244,INPUT_PURCHASE,Seeds,0.143,92.0,13196.0
T000673,2019-06-02,2019-K,BRD-AMT,F01160,INPUT_PURCHASE,Fertilizer,0.149,31.0,4661.0
T000098,2019-06-02,2019-K,BRD-YTM,F01023,INPUT_PURCHASE,Fertilizer,0.206,31.04,6394.24
T000689,2019-06-02,2019-K,BRD-AMT,F01164,INPUT_PURCHASE,Seeds,0.156,109.0,17065.0
T002664,2019-06-02,2019-K,BRD-IND,F01725,INPUT_PURCHASE,Fertilizer,0.197,42.0,8307.0
T000803,2019-06-02,2019-K,BRD-AMT,F01193,INPUT_PURCHASE,Fertilizer,0.167,35.0,5763.0
T004078,2019-06-02,2019-K,BRD-RTL,F02118,INPUT_PURCHASE,Fertilizer,0.311,34.63,10769.93
T002530,2019-06-02,2019-K,BRD-IND,F01685,INPUT_PURCHASE,Seeds,0.181,100.0,18154.0
T003444,2019-06-02,2019-K,BRD-DWS,F01948,INPUT_PURCHASE,Plant Protection,0.26,194.0,50450.0
T001185,2019-06-02,2019-K,BRD-AMT,F01288,INPUT_PURCHASE,Fertilizer,0.175,29.0,5134.5
T001265,2019-06-02,2019-K,BRD-NSK,F01303,INPUT_PURCHASE,Fertilizer,0.105,37.92,3981.6
T001610,2019-06-02,2019-K,BRD-NSK,F01406,INPUT_PURCHASE,Seeds,0.156,109.81,17130.36
T001332,2019-06-02,2019-K,BRD-NSK,F01325,INPUT_PURCHASE,Fertilizer,0.143,31.45,4497.35
T001970,2019-06-02,2019-K,BRD-AUR,F01516,INPUT_PURCHASE,Fertilizer,0.256,34.03,8711.68
T000403,2019-06-02,2019-K,BRD-YTM,F01097,INPUT_PURCHASE,Fertilizer,0.237,58.53,13871.61
T001180,2019-06-02,2019-K,BRD-AMT,F01286,INPUT_PURCHASE,Fertilizer,0.06,47.0,2839.0
T000316,2019-06-02,2019-K,BRD-YTM,F01074,INPUT_PURCHASE,Seeds,0.048,48.59,2332.32
T002855,2019-06-02,2019-K,BRD-UJN,F01782,INPUT_PURCHASE,Plant Protection,0.061,311.37,18993.57
T003880,2019-06-02,2019-K,BRD-RTL,F02074,INPUT_PURCHASE,Fertilizer,0.114,46.03,5247.42
T004137,2019-06-02,2019-K,BRD-RTL,F02135,INPUT_PURCHASE,Fertilizer,0.189,36.89,6972.21
T000726,2019-06-02,2019-K,BRD-AMT,F01175,INPUT_PURCHASE,Fertilizer,0.214,47.0,10039.0
T003689,2019-06-02,2019-K,BRD-DWS,F02019,INPUT_PURCHASE,Fertilizer,0.193,46.0,8903.0
T004186,2019-06-02,2019-K,BRD-RTL,F02149,INPUT_PURCHASE,Fertilizer,0.283,38.99,11034.17
T001087,2019-06-02,2019-K,BRD-AMT,F01262,INPUT_PURCHASE,Fertilizer,0.213,52.0,11025.0
T000680,2019-06-02,2019-K,BRD-AMT,F01162,INPUT_PURCHASE,Seeds,0.077,93.0,7176.0
T001692,2019-06-02,2019-K,BRD-NSK,F01432,INPUT_PURCHASE,Seeds,0.161,116.49,18754.89
T003061,2019-06-02,2019-K,BRD-UJN,F01838,INPUT_PURCHASE,Plant Protection,0.131,271.73,35596.63
T003784,2019-06-02,2019-K,BRD-DWS,F02049,LOAN_REPAY,Loan EMI,,,3300.0
T002442,2019-06-02,2019-K,BRD-IND,F01658,INPUT_PURCHASE,Fertilizer,0.121,55.0,6679.0
T001576,2019-06-02,2019-K,BRD-NSK,F01395,INPUT_PURCHASE,Fertilizer,0.135,32.08,4330.8
T001807,2019-06-02,2019-K,BRD-AUR,F01468,INPUT_PURCHASE,Seeds,0.22,97.44,21436.8
T004171,2019-06-02,2019-K,BRD-RTL,F02145,INPUT_PURCHASE,Fertilizer,0.301,41.33,12440.33
T003907,2019-06-02,2019-K,BRD-RTL,F02080,INPUT_PURCHASE,Fertilizer,0.21,30.83,6474.3
T001067,2019-06-02,2019-K,BRD-AMT,F01257,INPUT_PURCHASE,Fertilizer,0.172,38.0,6524.0
T004392,2019-06-02,2019-K,BRD-RTL,F02202,INPUT_PURCHASE,Seeds,0.278,91.7,25492.6
T003800,2019-06-02,2019-K,BRD-DWS,F02053,INPUT_PURCHASE,Seeds,0.29,54.0,15657.0
T002921,2019-06-02,2019-K,BRD-UJN,F01801,INPUT_PURCHASE,Seeds,0.28,64.1,17948.0
T003329,2019-06-02,2019-K,BRD-DWS,F01916,INPUT_PURCHASE,Seeds,0.057,94.0,5365.0
T000210,2019-06-02,2019-K,BRD-YTM,F01050,INPUT_PURCHASE,Fertilizer,0.265,40.97,10857.05
T003485,2019-06-02,2019-K,BRD-DWS,F01960,INPUT_PURCHASE,Seeds,0.213,62.0,13202.0
T003279,2019-06-02,2019-K,BRD-UJN,F01906,INPUT_PURCHASE,Fertilizer,0.068,44.35,3015.8
T003506,2019-06-03,2019-K,BRD-DWS,F01966,INPUT_PURCHASE,Seeds,0.262,107.0,27961.0
T003118,2019-06-03,2019-K,BRD-UJN,F01856,INPUT_PURCHASE,Fertilizer,0.135,49.23,6646.05
T002179,2019-06-03,2019-K,BRD-AUR,F01576,LOAN_REPAY,Loan EMI,,,1200.0
T002144,2019-06-03,2019-K,BRD-AUR,F01564,INPUT_PURCHASE,Fertilizer,0.274,31.98,8762.52
T003397,2019-06-03,2019-K,BRD-DWS,F01936,INPUT_PURCHASE,Fertilizer,0.068,45.0,3064.0
T000995,2019-06-03,2019-K,BRD-AMT,F01239,INPUT_PURCHASE,Fertilizer,0.257,50.0,12824.0
T004101,2019-06-03,2019-K,BRD-RTL,F02126,INPUT_PURCHASE,Seeds,0.251,69.35,17406.85
T003102,2019-06-03,2019-K,BRD-UJN,F01852,INPUT_PURCHASE,Seeds,0.194,120.99,23472.06
T002140,2019-06-03,2019-K,BRD-AUR,F01563,INPUT_PURCHASE,Fertilizer,0.15,48.92,7338.0
T002527,2019-06-03,2019-K,BRD-IND,F01684,INPUT_PURCHASE,Seeds,0.11,53.0,5780.0
T002188,2019-06-03,2019-K,BRD-AUR,F01579,INPUT_PURCHASE,Plant Protection,0.11,127.55,14030.5
T004000,2019-06-03,2019-K,BRD-RTL,F02102,INPUT_PURCHASE,Seeds,0.127,111.79,14197.33
T000856,2019-06-03,2019-K,BRD-AMT,F01206,INPUT_PURCHASE,Fertilizer,0.275,45.0,12254.0
T002614,2019-06-03,2019-K,BRD-IND,F01711,INPUT_PURCHASE,Fertilizer,0.269,51.0,13606.0
T003222,2019-06-03,2019-K,BRD-UJN,F01889,INPUT_PURCHASE,Seeds,0.117,96.53,11294.01
T002698,2019-06-03,2019-K,BRD-IND,F01733,INPUT_PURCHASE,Fertilizer,0.167,53.0,8823.0
T000716,2019-06-03,2019-K,BRD-AMT,F01172,INPUT_PURCHASE,Seeds,0.163,59.0,9641.0
T002438,2019-06-03,2019-K,BRD-IND,F01657,INPUT_PURCHASE,Seeds,0.11,123.0,13537.0
T002978,2019-06-03,2019-K,BRD-UJN,F01817,INPUT_PURCHASE,Fertilizer,0.122,35.96,4387.12
T004045,2019-06-03,2019-K,BRD-RTL,F02112,LOAN_REPAY,Loan EMI,,,7100.0
T001817,2019-06-03,2019-K,BRD-AUR,F01471,INPUT_PURCHASE,Seeds,0.125,101.01,12626.25
T001733,2019-06-03,2019-K,BRD-NSK,F01444,INPUT_PURCHASE,Seeds,0.135,55.79,7531.65
T000416,2019-06-03,2019-K,BRD-YTM,F01099,INPUT_PURCHASE,Fertilizer,0.14,39.88,5583.2
T003286,2019-06-03,2019-K,BRD-UJN,F01907,LOAN_REPAY,Loan EMI,,,1700.0
T002643,2019-06-03,2019-K,BRD-IND,F01718,LOAN_REPAY,Loan EMI,,,7600.0
T002600,2019-06-03,2019-K,BRD-IND,F01707,LOAN_REPAY,Loan EMI,,,3000.0
T000265,2019-06-03,2019-K,BRD-YTM,F01063,INPUT_PURCHASE,Fertilizer,0.038,50.62,1923.56
T003149,2019-06-03,2019-K,BRD-UJN,F01868,INPUT_PURCHASE,Plant Protection,0.065,620.17,40311.05
T002393,2019-06-03,2019-K,BRD-IND,F01642,INPUT_PURCHASE,Fertilizer,0.094,51.0,4793.0
T004037,2019-06-03,2019-K,BRD-RTL,F02111,INPUT_PURCHASE,Fertilizer,0.057,58.5,3334.5
T001480,2019-06-03,2019-K,BRD-NSK,F01363,INPUT_PURCHASE,Seeds,0.197,114.56,22568.32
T003814,2019-06-03,2019-K,BRD-DWS,F02057,INPUT_PURCHASE,Plant Protection,0.213,326.0,69357.0
T003734,2019-06-03,2019-K,BRD-DWS,F02032,INPUT_PURCHASE,Fertilizer,0.051,56.0,2862.0
T003908,2019-06-03,2019-K,BRD-RTL,F02080,INPUT_PURCHASE,Seeds,0.118,46.99,5544.82
T003415,2019-06-03,2019-K,BRD-DWS,F01940,INPUT_PURCHASE,Fertilizer,0.319,48.0,15248.0
T000784,2019-06-03,2019-K,BRD-AMT,F01188,INPUT_PURCHASE,Seeds,0.028,127.0,3548.0
T002416,2019-06-03,2019-K,BRD-IND,F01650,LOAN_REPAY,Loan EMI,,,1800.0
T003345,2019-06-04,2019-K,BRD-DWS,F01920,INPUT_PURCHASE,Fertilizer,0.248,53.0,13092.0
T001297,2019-06-04,2019-K,BRD-NSK,F01312,INPUT_PURCHASE,Fertilizer,0.06,45.76,2745.6
T004149,2019-06-04,2019-K,BRD-RTL,F02139,INPUT_PURCHASE,Fertilizer,0.16,54.08,8652.8
T000262,2019-06-04,2019-K,BRD-YTM,F01062,INPUT_PURCHASE,Seeds,0.253,125.96,31867.88
T001247,2019-06-04,2019-K,BRD-AMT,F01299,INPUT_PURCHASE,Fertilizer,0.072,57.0,4128.0
T002732,2019-06-04,2019-K,BRD-IND,F01743,INPUT_PURCHASE,Plant Protection,0.074,179.0,13222.0
T003332,2019-06-04,2019-K,BRD-DWS,F01917,INPUT_PURCHASE,Seeds,0.069,49.0,3406.0
T001306,2019-06-04,2019-K,BRD-NSK,F01317,INPUT_PURCHASE,Other,0.284,348.02,98837.68
T003017,2019-06-04,2019-K,BRD-UJN,F01828,INPUT_PURCHASE,Fertilizer,0.166,34.53,5731.98
T002328,2019-06-04,2019-K,BRD-IND,F01621,INPUT_PURCHASE,Fertilizer,0.182,36.0,6508.0
T004451,2019-06-04,2019-K,BRD-RTL,F02214,INPUT_PURCHASE,Seeds,0.05,73.6,3680.0
T003553,2019-06-04,2019-K,BRD-DWS,F01978,INPUT_PURCHASE,Fertilizer,0.258,48.0,12258.0
T003492,2019-06-04,2019-K,BRD-DWS,F01961,INPUT_PURCHASE,Fertilizer,0.259,41.0,10671.0
T000458,2019-06-04,2019-K,BRD-YTM,F01109,INPUT_PURCHASE,Plant Protection,0.224,531.54,119064.96
T002686,2019-06-04,2019-K,BRD-IND,F01730,INPUT_PURCHASE,Fertilizer,0.104,52.0,5446.0
T003684,2019-06-04,2019-K,BRD-DWS,F02018,INPUT_PURCHASE,Fertilizer,0.177,51.0,9029.0
T000209,2019-06-04,2019-K,BRD-YTM,F01050,INPUT_PURCHASE,Fertilizer,0.214,51.64,11050.96
T000200,2019-06-04,2019-K,BRD-YTM,F01048,INPUT_PURCHASE,Seeds,0.025,126.57,3164.25
T002562,2019-06-04,2019-K,BRD-IND,F01694,INPUT_PURCHASE,Fertilizer,0.14,40.0,5645.0
T000717,2019-06-04,2019-K,BRD-AMT,F01172,INPUT_PURCHASE,Seeds,0.056,62.0,3448.0
T004415,2019-06-04,2019-K,BRD-RTL,F02207,INPUT_PURCHASE,Seeds,0.092,105.61,9716.12
T001092,2019-06-04,2019-K,BRD-AMT,F01263,INPUT_PURCHASE,Fertilizer,0.156,49.0,7597.0
T001453,2019-06-04,2019-K,BRD-NSK,F01355,INPUT_PURCHASE,Seeds,0.157,91.88,14425.16
T000088,2019-06-04,2019-K,BRD-YTM,F01021,INPUT_PURCHASE,Fertilizer,0.062,40.84,2532.08
T000488,2019-06-04,2019-K,BRD-YTM,F01115,LOAN_REPAY,Loan EMI,,,6100.0
T000373,2019-06-04,2019-K,BRD-YTM,F01090,INPUT_PURCHASE,Fertilizer,0.234,36.04,8433.36
T000903,2019-06-04,2019-K,BRD-AMT,F01218,INPUT_PURCHASE,Fertilizer,0.208,37.0,7773.0
T004222,2019-06-04,2019-K,BRD-RTL,F02158,INPUT_PURCHASE,Fertilizer,0.198,44.66,8842.68
T002313,2019-06-04,2019-K,BRD-AUR,F01617,INPUT_PURCHASE,Fertilizer,0.057,33.72,1922.04
T000783,2019-06-04,2019-K,BRD-AMT,F01188,INPUT_PURCHASE,Seeds,0.046,47.0,2184.0
T002853,2019-06-04,2019-K,BRD-UJN,F01781,INPUT_PURCHASE,Other,0.21,515.67,108290.7
T000227,2019-06-04,2019-K,BRD-YTM,F01054,INPUT_PURCHASE,Plant Protection,0.036,296.06,10658.16
T002368,2019-06-04,2019-K,BRD-IND,F01635,LOAN_REPAY,Loan EMI,,,3400.0
T002741,2019-06-04,2019-K,BRD-IND,F01746,INPUT_PURCHASE,Seeds,0.083,67.0,5534.0
T003203,2019-06-04,2019-K,BRD-UJN,F01883,INPUT_PURCHASE,Fertilizer,0.161,50.8,8178.8
T003099,2019-06-04,2019-K,BRD-UJN,F01851,INPUT_PURCHASE,Fertilizer,0.095,43.67,4148.65
T002723,2019-06-04,2019-K,BRD-IND,F01740,INPUT_PURCHASE,Fertilizer,0.28,30.0,8495.0
T002887,2019-06-04,2019-K,BRD-UJN,F01791,INPUT_PURCHASE,Fertilizer,0.235,54.93,12908.55
T001479,2019-06-04,2019-K,BRD-NSK,F01363,INPUT_PURCHASE,Fertilizer,0.134,50.43,6757.62
T001404,2019-06-04,2019-K,BRD-NSK,F01342,INPUT_PURCHASE,Fertilizer,0.314,59.29,18617.06
T003828,2019-06-04,2019-K,BRD-DWS,F02060,INPUT_PURCHASE,Fertilizer,0.253,44.0,11185.0
T002638,2019-06-05,2019-K,BRD-IND,F01718,INPUT_PURCHASE,Fertilizer,0.297,57.0,16890.0
T002403,2019-06-05,2019-K,BRD-IND,F01646,INPUT_PURCHASE,Fertilizer,0.074,55.0,4057.0
T000889,2019-06-05,2019-K,BRD-AMT,F01215,INPUT_PURCHASE,Fertilizer,0.216,34.0,7439.0
T001252,2019-06-05,2019-K,BRD-AMT,F01300,INPUT_PURCHASE,Fertilizer,0.226,35.0,8000.0
T002720,2019-06-05,2019-K,BRD-IND,F01739,INPUT_PURCHASE,Fertilizer,0.232,54.0,12468.0
T002240,2019-06-05,2019-K,BRD-AUR,F01593,INPUT_PURCHASE,Fertilizer,0.159,52.63,8368.17
T000477,2019-06-05,2019-K,BRD-YTM,F01112,INPUT_PURCHASE,Seeds,0.146,93.89,13707.94
T004581,2019-06-05,2019-K,BRD-RTL,F02254,INPUT_PURCHASE,Seeds,0.063,86.72,5463.36
T001054,2019-06-05,2019-K,BRD-AMT,F01254,INPUT_PURCHASE,Fertilizer,0.046,45.0,2084.0
T000429,2019-06-05,2019-K,BRD-YTM,F01102,INPUT_PURCHASE,Fertilizer,0.093,32.98,3067.14
T003474,2019-06-05,2019-K,BRD-DWS,F01956,INPUT_PURCHASE,Fertilizer,0.161,60.0,9613.0
T003157,2019-06-05,2019-K,BRD-UJN,F01870,INPUT_PURCHASE,Fertilizer,0.155,58.65,9090.75
T001885,2019-06-05,2019-K,BRD-AUR,F01489,INPUT_PURCHASE,Seeds,0.175,124.29,21750.75
T002046,2019-06-05,2019-K,BRD-AUR,F01535,INPUT_PURCHASE,Fertilizer,0.296,37.29,11037.84
T001167,2019-06-05,2019-K,BRD-AMT,F01282,INPUT_PURCHASE,Other,0.09,621.0,55912.0
T003165,2019-06-05,2019-K,BRD-UJN,F01872,LOAN_REPAY,Loan EMI,,,1800.0
T001524,2019-06-05,2019-K,BRD-NSK,F01379,INPUT_PURCHASE,Seeds,0.235,121.63,28583.05
T003445,2019-06-05,2019-K,BRD-DWS,F01948,INPUT_PURCHASE,Fertilizer,0.128,48.0,6104.0
T003597,2019-06-05,2019-K,BRD-DWS,F01992,INPUT_PURCHASE,Fertilizer,0.172,41.0,7064.0
T001915,2019-06-05,2019-K,BRD-AUR,F01497,INPUT_PURCHASE,Fertilizer,0.09,38.88,3499.2
T001921,2019-06-05,2019-K,BRD-AUR,F01499,INPUT_PURCHASE,Fertilizer,0.195,54.08,10545.6
T002518,2019-06-05,2019-K,BRD-IND,F01683,INPUT_PURCHASE,Plant Protection,0.252,328.0,82767.0
T002633,2019-06-05,2019-K,BRD-IND,F01716,INPUT_PURCHASE,Seeds,0.291,49.0,14367.0
T003376,2019-06-05,2019-K,BRD-DWS,F01929,INPUT_PURCHASE,Seeds,0.063,93.0,5848.0
T003946,2019-06-05,2019-K,BRD-RTL,F02089,INPUT_PURCHASE,Seeds,0.193,94.18,18176.74
T000297,2019-06-05,2019-K,BRD-YTM,F01070,INPUT_PURCHASE,Fertilizer,0.051,40.11,2045.61
T000816,2019-06-05,2019-K,BRD-AMT,F01197,INPUT_PURCHASE,Seeds,0.31,59.0,18234.0
T000031,2019-06-05,2019-K,BRD-YTM,F01006,LOAN_REPAY,Loan EMI,,,1000.0
T001635,2019-06-05,2019-K,BRD-NSK,F01413,INPUT_PURCHASE,Fertilizer,0.206,32.55,6705.3
T003325,2019-06-05,2019-K,BRD-DWS,F01915,INPUT_PURCHASE,Fertilizer,0.298,60.0,17740.0
T003319,2019-06-05,2019-K,BRD-DWS,F01914,INPUT_PURCHASE,Plant Protection,0.289,357.0,103052.0
T003815,2019-06-05,2019-K,BRD-DWS,F02057,LOAN_REPAY,Loan EMI,,,2000.0
T002660,2019-06-05,2019-K,BRD-IND,F01724,INPUT_PURCHASE,Other,0.221,496.0,109510.0
T003824,2019-06-05,2019-K,BRD-DWS,F02059,INPUT_PURCHASE,Plant Protection,0.205,608.0,124634.0
T003214,2019-06-05,2019-K,BRD-UJN,F01886,INPUT_PURCHASE,Other,0.088,578.91,50944.08
T004450,2019-06-05,2019-K,BRD-RTL,F02214,INPUT_PURCHASE,Plant Protection,0.1,502.63,50263.0
T000290,2019-06-05,2019-K,BRD-YTM,F01068,INPUT_PURCHASE,Fertilizer,0.152,33.53,5096.56
T003305,2019-06-05,2019-K,BRD-UJN,F01910,INPUT_PURCHASE,Plant Protection,0.151,156.71,23663.21
T002974,2019-06-06,2019-K,BRD-UJN,F01816,INPUT_PURCHASE,Seeds,0.093,119.46,11109.78
T002801,2019-06-06,2019-K,BRD-UJN,F01766,INPUT_PURCHASE,Plant Protection,0.055,396.45,21804.75
T002171,2019-06-06,2019-K,BRD-AUR,F01574,INPUT_PURCHASE,Seeds,0.068,115.55,7857.4
T000972,2019-06-06,2019-K,BRD-AMT,F01235,INPUT_PURCHASE,Other,0.204,204.0,41581.0
T000808,2019-06-06,2019-K,BRD-AMT,F01194,LOAN_REPAY,Loan EMI,,,3800.0
T002468,2019-06-06,2019-K,BRD-IND,F01666,INPUT_PURCHASE,Seeds,0.077,55.0,4252.0
T000184,2019-06-06,2019-K,BRD-YTM,F01044,INPUT_PURCHASE,Fertilizer,0.162,39.58,6411.96
