farmer_id,village,district,state,gid,lat,lon,landholding_acres,collection_distance_km,join_year
F01048,Chandur K,Yavatmal,Maharashtra,BRD-YTM,19.8037,78.3451,0.97,21.7,2017
F01049,Chandur K,Yavatmal,Maharashtra,BRD-YTM,19.8037,78.3451,2.18,20.8,2016
F01050,Dabha,Yavatmal,Maharashtra,BRD-YTM,20.291,77.9688,5.07,17.5,2017
F01051,Dabha,Yavatmal,Maharashtra,BRD-YTM,20.291,77.9688,2.47,20.7,2015
F01052,Dabha,Yavatmal,Maharashtra,BRD-YTM,20.291,77.9688,3.28,16.3,2015
F01053,Dabha,Yavatmal,Maharashtra,BRD-YTM,20.291,77.9688,3.87,18.3,2015
F01054,Dabha,Yavatmal,Maharashtra,BRD-YTM,20.291,77.9688,5.16,17.7,2018
F01055,Dabha,Yavatmal,Maharashtra,BRD-YTM,20.291,77.9688,2.75,15.6,2018
F01056,Dabha,Yavatmal,Maharashtra,BRD-YTM,20.291,77.9688,4.91,15.4,2018
F01057,Dabha,Yavatmal,Maharashtra,BRD-YTM,20.291,77.9688,2.71,16.7,2016
F01058,Dabha,Yavatmal,Maharashtra,BRD-YTM,20.291,77.9688,5.03,15.0,2019
F01059,Dabha,Yavatmal,Maharashtra,BRD-YTM,20.291,77.9688,2.6,14.6,2019
F01060,Dabha,Yavatmal,Maharashtra,BRD-YTM,20.291,77.9688,2.94,16.4,2018
F01061,Dabha,Yavatmal,Maharashtra,BRD-YTM,20.291,77.9688,3.12,14.9,2017
F01062,Dabha,Yavatmal,Maharashtra,BRD-YTM,20.291,77.9688,4.09,15.2,2017
F01063,Dabha,Yavatmal,Maharashtra,BRD-YTM,20.291,77.9688,1.46,14.9,2017
F01064,Dabha,Yavatmal,Maharashtra,BRD-YTM,20.291,77.9688,5.0,15.3,2017
F01065,Dabha,Yavatmal,Maharashtra,BRD-YTM,20.291,77.9688,1.62,16.2,2017
F01066,Dabha,Yavatmal,Maharashtra,BRD-YTM,20.291,77.9688,3.32,15.2,2016
F01067,Dabha,Yavatmal,Maharashtra,BRD-YTM,20.291,77.9688,1.57,20.0,2019
F01068,Dabha,Yavatmal,Maharashtra,BRD-YTM,20.291,77.9688,3.72,14.4,2016
F01069,Dabha,Yavatmal,Maharashtra,BRD-YTM,20.291,77.9688,3.46,17.0,2018
F01070,Dabha,Yavatmal,Maharashtra,BRD-YTM,20.291,77.9688,2.13,15.2,2016
F01071,Dabha,Yavatmal,Maharashtra,BRD-YTM,20.291,77.9688,1.78,16.9,2015
F01072,Dabha,Yavatmal,Maharashtra,BRD-YTM,20.291,77.9688,3.37,16.4,2015
F01073,Dabha,Yavatmal,Maharashtra,BRD-YTM,20.291,77.9688,2.13,16.3,2016
F01074,Dabha,Yavatmal,Maharashtra,BRD-YTM,20.291,77.9688,1.08,15.1,2015
F01075,Dabha,Yavatmal,Maharashtra,BRD-YTM,20.291,77.9688,6.04,15.8,2017
F01076,Pardi,Yavatmal,Maharashtra,BRD-YTM,20.2618,78.0294,2.35,14.7,2016
F01077,Pardi,Yavatmal,Maharashtra,BRD-YTM,20.2618,78.0294,3.88,13.1,2019
F01078,Pardi,Yavatmal,Maharashtra,BRD-YTM,20.2618,78.0294,1.5,14.0,2015
F01079,Pardi,Yavatmal,Maharashtra,BRD-YTM,20.2618,78.0294,1.84,15.4,2016
F01080,Pardi,Yavatmal,Maharashtra,BRD-YTM,20.2618,78.0294,6.05,12.7,2015
F01081,Pardi,Yavatmal,Maharashtra,BRD-YTM,20.2618,78.0294,2.69,12.0,2019
F01082,Pardi,Yavatmal,Maharashtra,BRD-YTM,20.2618,78.0294,1.53,17.0,2016
F01083,Pardi,Yavatmal,Maharashtra,BRD-YTM,20.2618,78.0294,1.79,15.6,2015
F01084,Pardi,Yavatmal,Maharashtra,BRD-YTM,20.2618,78.0294,1.09,15.7,2015
F01085,Pardi,Yavatmal,Maharashtra,BRD-YTM,20.2618,78.0294,3.29,14.0,2017
F01086,Pardi,Yavatmal,Maharashtra,BRD-YTM,20.2618,78.0294,3.36,12.8,2019
F01087,Pardi,Yavatmal,Maharashtra,BRD-YTM,20.2618,78.0294,4.41,12.7,2016
F01088,Pardi,Yavatmal,Maharashtra,BRD-YTM,20.2618,78.0294,0.99,14.1,2019
F01089,Pardi,Yavatmal,Maharashtra,BRD-YTM,20.2618,78.0294,4.98,12.9,2015
F01090,Pardi,Yavatmal,Maharashtra,BRD-YTM,20.2618,78.0294,1.63,13.9,2015
F01091,Pardi,Yavatmal,Maharashtra,BRD-YTM,20.2618,78.0294,3.92,13.7,2017
F01092,Pardi,Yavatmal,Maharashtra,BRD-YTM,20.2618,78.0294,2.4,15.0,2017
F01093,Pardi,Yavatmal,Maharashtra,BRD-YTM,20.2618,78.0294,6.94,13.4,2018
F01094,Pardi,Yavatmal,Maharashtra,BRD-YTM,20.2618,78.0294,0.75,16.1,2016
F01095,Pardi,Yavatmal,Maharashtra,BRD-YTM,20.2618,78.0294,1.22,13.2,2016
F01096,Pardi,Yavatmal,Maharashtra,BRD-YTM,20.2618,78.0294,5.39,12.9,2015
F01097,Pardi,Yavatmal,Maharashtra,BRD-YTM,20.2618,78.0294,1.75,15.8,2018
F01098,Pardi,Yavatmal,Maharashtra,BRD-YTM,20.2618,78.0294,1.37,13.4,2019
F01099,Pardi,Yavatmal,Maharashtra,BRD-YTM,20.2618,78.0294,3.23,13.1,2018
F01100,Pardi,Yavatmal,Maharashtra,BRD-YTM,20.2618,78.0294,1.55,12.3,2017
F01101,Sakarda,Yavatmal,Maharashtra,BRD-YTM,20.3367,77.8716,0.72,9.5,2018
F01102,Sakarda,Yavatmal,Maharashtra,BRD-YTM,20.3367,77.8716,2.52,11.4,2015
F01103,Sakarda,Yavatmal,Maharashtra,BRD-YTM,20.3367,77.8716,3.48,9.2,2015
F01104,Sakarda,Yavatmal,Maharashtra,BRD-YTM,20.3367,77.8716,4.7,8.9,2018
F01105,Sakarda,Yavatmal,Maharashtra,BRD-YTM,20.3367,77.8716,3.71,8.8,2015
F01106,Sakarda,Yavatmal,Maharashtra,BRD-YTM,20.3367,77.8716,0.99,13.3,2016
F01107,Sakarda,Yavatmal,Maharashtra,BRD-YTM,20.3367,77.8716,2.8,11.8,2016
F01108,Sakarda,Yavatmal,Maharashtra,BRD-YTM,20.3367,77.8716,1.93,10.3,2019
F01109,Sakarda,Yavatmal,Maharashtra,BRD-YTM,20.3367,77.8716,1.98,9.0,2015
F01110,Sakarda,Yavatmal,Maharashtra,BRD-YTM,20.3367,77.8716,2.79,9.8,2016
F01111,Sakarda,Yavatmal,Maharashtra,BRD-YTM,20.3367,77.8716,2.47,11.5,2016
F01112,Sakarda,Yavatmal,Maharashtra,BRD-YTM,20.3367,77.8716,3.76,9.2,2016
F01113,Sakarda,Yavatmal,Maharashtra,BRD-YTM,20.3367,77.8716,2.7,9.8,2016
F01114,Sakarda,Yavatmal,Maharashtra,BRD-YTM,20.3367,77.8716,2.71,10.8,2018
F01115,Sakarda,Yavatmal,Maharashtra,BRD-YTM,20.3367,77.8716,3.07,8.6,2019
F01116,Sakarda,Yavatmal,Maharashtra,BRD-YTM,20.3367,77.8716,2.2,12.4,2016
F01117,Sakarda,Yavatmal,Maharashtra,BRD-YTM,20.3367,77.8716,2.25,11.0,2019
F01118,Sakarda,Yavatmal,Maharashtra,BRD-YTM,20.3367,77.8716,2.73,11.5,2019
F01119,Sakarda,Yavatmal,Maharashtra,BRD-YTM,20.3367,77.8716,1.83,9.9,2016
F01120,Sakarda,Yavatmal,Maharashtra,BRD-YTM,20.3367,77.8716,3.05,9.9,2016
F01121,Sakarda,Yavatmal,Maharashtra,BRD-YTM,20.3367,77.8716,1.06,9.5,2017
F01122,Sakarda,Yavatmal,Maharashtra,BRD-YTM,20.3367,77.8716,0.79,11.7,2015
F01123,Sakarda,Yavatmal,Maharashtra,BRD-YTM,20.3367,77.8716,2.01,9.6,2017
F01124,Sakarda,Yavatmal,Maharashtra,BRD-YTM,20.3367,77.8716,0.9,11.0,2019
F01125,Vadki,Yavatmal,Maharashtra,BRD-YTM,20.257,77.9854,2.11,19.4,2016
F01126,Vadki,Yavatmal,Maharashtra,BRD-YTM,20.257,77.9854,1.88,18.2,2015
F01127,Vadki,Yavatmal,Maharashtra,BRD-YTM,20.257,77.9854,6.61,21.4,2017
F01128,Vadki,Yavatmal,Maharashtra,BRD-YTM,20.257,77.9854,1.67,18.7,2015
F01129,Vadki,Yavatmal,Maharashtra,BRD-YTM,20.257,77.9854,3.3,19.9,2015
F01130,Vadki,Yavatmal,Maharashtra,BRD-YTM,20.257,77.9854,1.81,17.6,2015
F01131,Vadki,Yavatmal,Maharashtra,BRD-YTM,20.257,77.9854,1.98,17.8,2017
F01132,Vadki,Yavatmal,Maharashtra,BRD-YTM,20.257,77.9854,3.74,19.9,2016
F01133,Vadki,Yavatmal,Maharashtra,BRD-YTM,20.257,77.9854,1.17,18.4,2019
F01134,Vadki,Yavatmal,Maharashtra,BRD-YTM,20.257,77.9854,1.9,17.7,2017
F01135,Vadki,Yavatmal,Maharashtra,BRD-YTM,20.257,77.9854,1.84,18.9,2017
F01136,Vadki,Yavatmal,Maharashtra,BRD-YTM,20.257,77.9854,3.98,20.4,2019
F01137,Vadki,Yavatmal,Maharashtra,BRD-YTM,20.257,77.9854,2.76,18.7,2018
F01138,Vadki,Yavatmal,Maharashtra,BRD-YTM,20.257,77.9854,2.11,18.3,2017
F01139,Vadki,Yavatmal,Maharashtra,BRD-YTM,20.257,77.9854,1.55,17.9,2016
F01140,Vadki,Yavatmal,Maharashtra,BRD-YTM,20.257,77.9854,1.55,20.2,2016
F01141,Vadki,Yavatmal,Maharashtra,BRD-YTM,20.257,77.9854,2.67,18.8,2015
F01142,Vadki,Yavatmal,Maharashtra,BRD-YTM,20.257,77.9854,1.5,21.3,2018
F01143,Vadki,Yavatmal,Maharashtra,BRD-YTM,20.257,77.9854,2.02,18.5,2019
F01144,Vadki,Yavatmal,Maharashtra,BRD-YTM,20.257,77.9854,1.7,19.8,2018
F01145,Vadki,Yavatmal,Maharashtra,BRD-YTM,20.257,77.9854,1.46,19.4,2016
F01146,Vadki,Yavatmal,Maharashtra,BRD-YTM,20.257,77.9854,1.47,22.4,2016
F01147,Vadki,Yavatmal,Maharashtra,BRD-YTM,20.257,77.9854,3.38,18.0,2019
F01148,Vadki,Yavatmal,Maharashtra,BRD-YTM,20.257,77.9854,0.87,19.8,2017
F01149,Vadki,Yavatmal,Maharashtra,BRD-YTM,20.257,77.9854,2.06,22.8,2018
F01150,Vadki,Yavatmal,Maharashtra,BRD-YTM,20.257,77.9854,4.1,17.7,2019
F01151,Vadki,Yavatmal,Maharashtra,BRD-YTM,20.257,77.9854,0.7,20.6,2017
F01152,Vadki,Yavatmal,Maharashtra,BRD-YTM,20.257,77.9854,4.14,21.7,2015
F01153,Vadki,Yavatmal,Maharashtra,BRD-YTM,20.257,77.9854,2.9,17.9,2018
F01154,Borgaon,Amravati,Maharashtra,BRD-AMT,20.7194,77.5809,1.77,21.4,2019
F01155,Borgaon,Amravati,Maharashtra,BRD-AMT,20.7194,77.5809,1.04,23.2,2018
F01156,Borgaon,Amravati,Maharashtra,BRD-AMT,20.7194,77.5809,1.61,21.5,2019
F01157,Borgaon,Amravati,Maharashtra,BRD-AMT,20.7194,77.5809,0.72,23.9,2019
F01158,Borgaon,Amravati,Maharashtra,BRD-AMT,20.7194,77.5809,2.75,22.8,2015
F01159,Borgaon,Amravati,Maharashtra,BRD-AMT,20.7194,77.5809,3.97,21.6,2017
F01160,Borgaon,Amravati,Maharashtra,BRD-AMT,20.7194,77.5809,2.39,22.4,2016
F01161,Borgaon,Amravati,Maharashtra,BRD-AMT,20.7194,77.5809,2.92,24.5,2015
F01162,Borgaon,Amravati,Maharashtra,BRD-AMT,20.7194,77.5809,2.6,22.4,2019
F01163,Borgaon,Amravati,Maharashtra,BRD-AMT,20.7194,77.5809,5.08,21.6,2016
F01164,Borgaon,Amravati,Maharashtra,BRD-AMT,20.7194,77.5809,3.53,24.4,2019
F01165,Borgaon,Amravati,Maharashtra,BRD-AMT,20.7194,77.5809,3.5,21.2,2015
F01166,Borgaon,Amravati,Maharashtra,BRD-AMT,20.7194,77.5809,1.99,24.3,2018
F01167,Borgaon,Amravati,Maharashtra,BRD-AMT,20.7194,77.5809,3.17,24.2,2018
F01168,Borgaon,Amravati,Maharashtra,BRD-AMT,20.7194,77.5809,2.5,22.8,2018
F01169,Borgaon,Amravati,Maharashtra,BRD-AMT,20.7194,77.5809,3.66,21.8,2016
F01170,Borgaon,Amravati,Maharashtra,BRD-AMT,20.7194,77.5809,2.91,22.8,2016
F01171,Borgaon,Amravati,Maharashtra,BRD-AMT,20.7194,77.5809,1.7,22.2,2019
F01172,Borgaon,Amravati,Maharashtra,BRD-AMT,20.7194,77.5809,2.52,23.3,2017
F01173,Borgaon,Amravati,Maharashtra,BRD-AMT,20.7194,77.5809,1.96,23.0,2015
F01174,Borgaon,Amravati,Maharashtra,BRD-AMT,20.7194,77.5809,1.77,21.7,2016
F01175,Borgaon,Amravati,Maharashtra,BRD-AMT,20.7194,77.5809,6.15,21.7,2015
F01176,Borgaon,Amravati,Maharashtra,BRD-AMT,20.7194,77.5809,1.29,21.6,2019
F01177,Borgaon,Amravati,Maharashtra,BRD-AMT,20.7194,77.5809,2.36,21.4,2019
F01178,Chikhali,Amravati,Maharashtra,BRD-AMT,20.7079,77.8272,2.37,14.1,2019
F01179,Chikhali,Amravati,Maharashtra,BRD-AMT,20.7079,77.8272,3.71,13.8,2017
F01180,Chikhali,Amravati,Maharashtra,BRD-AMT,20.7079,77.8272,1.35,13.2,2018
F01181,Chikhali,Amravati,Maharashtra,BRD-AMT,20.7079,77.8272,3.97,12.2,2019
F01182,Chikhali,Amravati,Maharashtra,BRD-AMT,20.7079,77.8272,3.21,11.8,2018
F01183,Chikhali,Amravati,Maharashtra,BRD-AMT,20.7079,77.8272,2.26,12.3,2019
F01184,Chikhali,Amravati,Maharashtra,BRD-AMT,20.7079,77.8272,2.13,11.7,2015
F01185,Chikhali,Amravati,Maharashtra,BRD-AMT,20.7079,77.8272,2.44,15.1,2017
F01186,Chikhali,Amravati,Maharashtra,BRD-AMT,20.7079,77.8272,2.37,13.2,2019
F01187,Chikhali,Amravati,Maharashtra,BRD-AMT,20.7079,77.8272,1.65,12.0,2015
F01188,Chikhali,Amravati,Maharashtra,BRD-AMT,20.7079,77.8272,3.56,13.9,2018
F01189,Chikhali,Amravati,Maharashtra,BRD-AMT,20.7079,77.8272,4.87,12.8,2015
F01190,Chikhali,Amravati,Maharashtra,BRD-AMT,20.7079,77.8272,4.45,13.3,2015
F01191,Chikhali,Amravati,Maharashtra,BRD-AMT,20.7079,77.8272,1.99,16.2,2019
F01192,Chikhali,Amravati,Maharashtra,BRD-AMT,20.7079,77.8272,4.26,14.4,2016
F01193,Chikhali,Amravati,Maharashtra,BRD-AMT,20.7079,77.8272,5.21,12.0,2017
F01194,Chikhali,Amravati,Maharashtra,BRD-AMT,20.7079,77.8272,3.48,15.6,2018
F01195,Chikhali,Amravati,Maharashtra,BRD-AMT,20.7079,77.8272,4.58,12.9,2018
F01196,Chikhali,Amravati,Maharashtra,BRD-AMT,20.7079,77.8272,3.0,14.6,2018
F01197,Chikhali,Amravati,Maharashtra,BRD-AMT,20.7079,77.8272,1.34,12.4,2017
F01198,Chikhali,Amravati,Maharashtra,BRD-AMT,20.7079,77.8272,2.14,13.7,2019
F01199,Chikhali,Amravati,Maharashtra,BRD-AMT,20.7079,77.8272,3.9,12.3,2016
F01200,Chikhali,Amravati,Maharashtra,BRD-AMT,20.7079,77.8272,2.44,12.1,2018
F01201,Chikhali,Amravati,Maharashtra,BRD-AMT,20.7079,77.8272,1.39,13.1,2018
F01202,Chikhali,Amravati,Maharashtra,BRD-AMT,20.7079,77.8272,4.17,13.3,2015
F01203,Chikhali,Amravati,Maharashtra,BRD-AMT,20.7079,77.8272,2.01,13.5,2019
F01204,Dhanora,Amravati,Maharashtra,BRD-AMT,21.2014,77.8497,3.95,6.5,2015
F01205,Dhanora,Amravati,Maharashtra,BRD-AMT,21.2014,77.8497,2.88,5.4,2015
F01206,Dhanora,Amravati,Maharashtra,BRD-AMT,21.2014,77.8497,1.4,6.0,2019
F01207,Dhanora,Amravati,Maharashtra,BRD-AMT,21.2014,77.8497,2.97,5.7,2017
F01208,Dhanora,Amravati,Maharashtra,BRD-AMT,21.2014,77.8497,3.77,6.6,2018
F01209,Dhanora,Amravati,Maharashtra,BRD-AMT,21.2014,77.8497,3.67,7.9,2019
F01210,Dhanora,Amravati,Maharashtra,BRD-AMT,21.2014,77.8497,2.73,7.0,2016
F01211,Dhanora,Amravati,Maharashtra,BRD-AMT,21.2014,77.8497,3.1,5.0,2017
F01212,Dhanora,Amravati,Maharashtra,BRD-AMT,21.2014,77.8497,2.72,5.4,2015
F01213,Dhanora,Amravati,Maharashtra,BRD-AMT,21.2014,77.8497,4.75,7.2,2019
F01214,Dhanora,Amravati,Maharashtra,BRD-AMT,21.2014,77.8497,4.89,6.8,2017
F01215,Dhanora,Amravati,Maharashtra,BRD-AMT,21.2014,77.8497,3.23,5.5,2016
F01216,Dhanora,Amravati,Maharashtra,BRD-AMT,21.2014,77.8497,2.09,6.0,2019
F01217,Dhanora,Amravati,Maharashtra,BRD-AMT,21.2014,77.8497,1.89,5.0,2016
F01218,Dhanora,Amravati,Maharashtra,BRD-AMT,21.2014,77.8497,1.97,5.2,2016
F01219,Dhanora,Amravati,Maharashtra,BRD-AMT,21.2014,77.8497,3.04,6.2,2018
F01220,Dhanora,Amravati,Maharashtra,BRD-AMT,21.2014,77.8497,1.06,8.3,2016
F01221,Dhanora,Amravati,Maharashtra,BRD-AMT,21.2014,77.8497,2.15,7.4,2019
F01222,Dhanora,Amravati,Maharashtra,BRD-AMT,21.2014,77.8497,2.23,5.4,2019
F01223,Dhanora,Amravati,Maharashtra,BRD-AMT,21.2014,77.8497,7.31,5.7,2019
F01224,Dhanora,Amravati,Maharashtra,BRD-AMT,21.2014,77.8497,1.58,5.9,2015
F01225,Dhanora,Amravati,Maharashtra,BRD-AMT,21.2014,77.8497,2.54,5.1,2019
F01226,Dhanora,Amravati,Maharashtra,BRD-AMT,21.2014,77.8497,1.52,5.6,2017
F01227,Eklara,Amravati,Maharashtra,BRD-AMT,20.7114,77.6833,4.45,18.3,2015
F01228,Eklara,Amravati,Maharashtra,BRD-AMT,20.7114,77.6833,1.26,19.3,2015
F01229,Eklara,Amravati,Maharashtra,BRD-AMT,20.7114,77.6833,0.8,15.2,2015
F01230,Eklara,Amravati,Maharashtra,BRD-AMT,20.7114,77.6833,1.54,18.0,2019
F01231,Eklara,Amravati,Maharashtra,BRD-AMT,20.7114,77.6833,6.44,16.2,2015
F01232,Eklara,Amravati,Maharashtra,BRD-AMT,20.7114,77.6833,1.74,18.3,2016
F01233,Eklara,Amravati,Maharashtra,BRD-AMT,20.7114,77.6833,3.37,15.8,2018
F01234,Eklara,Amravati,Maharashtra,BRD-AMT,20.7114,77.6833,3.55,17.2,2017
F01235,Eklara,Amravati,Maharashtra,BRD-AMT,20.7114,77.6833,2.37,16.6,2019
F01236,Eklara,Amravati,Maharashtra,BRD-AMT,20.7114,77.6833,2.88,16.4,2016
F01237,Eklara,Amravati,Maharashtra,BRD-AMT,20.7114,77.6833,5.46,15.9,2015
F01238,Eklara,Amravati,Maharashtra,BRD-AMT,20.7114,77.6833,1.05,15.2,2018
F01239,Eklara,Amravati,Maharashtra,BRD-AMT,20.7114,77.6833,3.11,17.2,2015
F01240,Eklara,Amravati,Maharashtra,BRD-AMT,20.7114,77.6833,1.28,15.6,2018
F01241,Eklara,Amravati,Maharashtra,BRD-AMT,20.7114,77.6833,2.67,16.8,2018
F01242,Eklara,Amravati,Maharashtra,BRD-AMT,20.7114,77.6833,2.37,17.3,2016
F01243,Eklara,Amravati,Maharashtra,BRD-AMT,20.7114,77.6833,1.78,16.3,2016
F01244,Eklara,Amravati,Maharashtra,BRD-AMT,20.7114,77.6833,1.26,16.5,2018
F01245,Eklara,Amravati,Maharashtra,BRD-AMT,20.7114,77.6833,3.61,16.1,2018
F01246,Eklara,Amravati,Maharashtra,BRD-AMT,20.7114,77.6833,4.35,17.9,2017
F01247,Eklara,Amravati,Maharashtra,BRD-AMT,20.7114,77.6833,1.99,16.1,2015
F01248,Eklara,Amravati,Maharashtra,BRD-AMT,20.7114,77.6833,1.84,15.6,2016
F01249,Eklara,Amravati,Maharashtra,BRD-AMT,20.7114,77.6833,2.51,16.0,2015
F01250,Eklara,Amravati,Maharashtra,BRD-AMT,20.7114,77.6833,0.92,17.0,2017
F01251,Fulsungi,Amravati,Maharashtra,BRD-AMT,21.0492,77.7296,2.18,26.0,2016
F01252,Fulsungi,Amravati,Maharashtra,BRD-AMT,21.0492,77.7296,4.89,25.8,2018
F01253,Fulsungi,Amravati,Maharashtra,BRD-AMT,21.0492,77.7296,1.4,25.8,2019
F01254,Fulsungi,Amravati,Maharashtra,BRD-AMT,21.0492,77.7296,7.19,25.6,2017
F01255,Fulsungi,Amravati,Maharashtra,BRD-AMT,21.0492,77.7296,2.08,26.9,2017
F01256,Fulsungi,Amravati,Maharashtra,BRD-AMT,21.0492,77.7296,1.29,27.7,2015
F01257,Fulsungi,Amravati,Maharashtra,BRD-AMT,21.0492,77.7296,2.25,28.3,2015
F01258,Fulsungi,Amravati,Maharashtra,BRD-AMT,21.0492,77.7296,1.07,27.5,2018
F01259,Fulsungi,Amravati,Maharashtra,BRD-AMT,21.0492,77.7296,3.23,27.6,2018
F01260,Fulsungi,Amravati,Maharashtra,BRD-AMT,21.0492,77.7296,4.76,27.8,2018
F01261,Fulsungi,Amravati,Maharashtra,BRD-AMT,21.0492,77.7296,2.52,30.2,2019
F01262,Fulsungi,Amravati,Maharashtra,BRD-AMT,21.0492,77.7296,3.46,27.0,2017
F01263,Fulsungi,Amravati,Maharashtra,BRD-AMT,21.0492,77.7296,2.26,26.1,2019
F01264,Fulsungi,Amravati,Maharashtra,BRD-AMT,21.0492,77.7296,1.47,26.6,2018
F01265,Fulsungi,Amravati,Maharashtra,BRD-AMT,21.0492,77.7296,2.18,27.8,2015
F01266,Fulsungi,Amravati,Maharashtra,BRD-AMT,21.0492,77.7296,2.89,28.5,2019
F01267,Fulsungi,Amravati,Maharashtra,BRD-AMT,21.0492,77.7296,2.84,26.8,2016
F01268,Fulsungi,Amravati,Maharashtra,BRD-AMT,21.0492,77.7296,2.69,26.2,2015
F01269,Fulsungi,Amravati,Maharashtra,BRD-AMT,21.0492,77.7296,2.87,25.6,2018
F01270,Fulsungi,Amravati,Maharashtra,BRD-AMT,21.0492,77.7296,2.09,27.2,2019
