farmer_id,season,crop,estimated_yield_tons
F01041,2019-K,Cotton,3.04
F01042,2019-K,Cotton,2.532
F01043,2019-K,Cotton,3.221
F01043,2019-K,Soybean,4.522
F01044,2019-K,Cotton,3.01
F01044,2019-K,Soybean,3.678
F01045,2019-K,Cotton,1.801
F01046,2019-K,Cotton,0.643
F01046,2019-K,Soybean,0.925
F01047,2019-K,Cotton,0.806
F01047,2019-K,Soybean,1.073
F01048,2019-K,Cotton,0.63
F01048,2019-K,Soybean,0.948
F01049,2019-K,Cotton,1.413
F01050,2019-K,Cotton,3.732
F01051,2019-K,Cotton,1.763
F01052,2019-K,Cotton,2.389
F01052,2019-K,Soybean,2.868
F01053,2019-K,Cotton,2.751
F01054,2019-K,Cotton,3.829
F01055,2019-K,Cotton,2.038
F01056,2019-K,Cotton,3.579
F01057,2019-K,Cotton,1.823
F01057,2019-K,Soybean,2.468
F01058,2019-K,Cotton,3.799
F01059,2019-K,Cotton,1.965
F01060,2019-K,Cotton,2.122
F01061,2019-K,Cotton,2.108
F01062,2019-K,Cotton,2.811
F01063,2019-K,Cotton,0.998
F01064,2019-K,Cotton,3.373
F01065,2019-K,Cotton,1.164
F01066,2019-K,Cotton,2.495
F01067,2019-K,Cotton,0.993
F01067,2019-K,Soybean,1.573
F01068,2019-K,Cotton,2.263
F01069,2019-K,Cotton,2.46
F01070,2019-K,Cotton,1.624
F01071,2019-K,Cotton,1.221
F01071,2019-K,Soybean,1.525
F01072,2019-K,Cotton,2.516
F01072,2019-K,Soybean,3.033
F01073,2019-K,Cotton,1.4
F01073,2019-K,Soybean,2.012
F01074,2019-K,Cotton,0.761
F01075,2019-K,Cotton,4.383
F01076,2019-K,Cotton,1.612
F01077,2019-K,Cotton,2.822
F01078,2019-K,Cotton,1.029
F01079,2019-K,Cotton,1.261
F01079,2019-K,Soybean,1.593
F01080,2019-K,Cotton,4.524
F01081,2019-K,Cotton,1.805
F01082,2019-K,Cotton,1.085
F01083,2019-K,Cotton,1.136
F01083,2019-K,Soybean,1.659
F01084,2019-K,Cotton,0.826
F01084,2019-K,Soybean,1.044
F01085,2019-K,Cotton,2.537
F01085,2019-K,Soybean,3.046
F01086,2019-K,Cotton,2.296
F01087,2019-K,Cotton,3.349
F01088,2019-K,Cotton,0.723
F01089,2019-K,Cotton,3.417
F01089,2019-K,Soybean,4.468
F01090,2019-K,Cotton,1.084
F01090,2019-K,Soybean,1.436
F01091,2019-K,Cotton,2.803
F01092,2019-K,Cotton,1.797
F01092,2019-K,Soybean,2.163
F01093,2019-K,Cotton,5.214
F01094,2019-K,Cotton,0.504
F01095,2019-K,Cotton,0.872
F01095,2019-K,Soybean,1.115
F01096,2019-K,Cotton,3.752
F01096,2019-K,Soybean,4.977
F01097,2019-K,Cotton,1.354
F01098,2019-K,Cotton,0.998
F01098,2019-K,Soybean,1.282
F01099,2019-K,Cotton,2.164
F01099,2019-K,Soybean,2.875
F01100,2019-K,Cotton,1.03
F01100,2019-K,Soybean,1.487
F01101,2019-K,Cotton,0.483
F01101,2019-K,Soybean,0.67
F01102,2019-K,Cotton,1.958
F01102,2019-K,Soybean,2.384
F01103,2019-K,Cotton,2.383
F01103,2019-K,Soybean,3.268
F01104,2019-K,Cotton,3.316
F01104,2019-K,Soybean,4.275
F01105,2019-K,Cotton,2.429
F01105,2019-K,Soybean,3.394
F01106,2019-K,Cotton,0.747
F01107,2019-K,Cotton,1.975
F01107,2019-K,Soybean,2.46
F01108,2019-K,Cotton,1.498
F01108,2019-K,Soybean,1.895
F01109,2019-K,Cotton,1.506
F01110,2019-K,Cotton,1.789
F01111,2019-K,Cotton,1.706
F01112,2019-K,Cotton,2.627
F01113,2019-K,Cotton,1.733
F01114,2019-K,Cotton,1.955
F01115,2019-K,Cotton,2.176
F01115,2019-K,Soybean,2.7
F01116,2019-K,Cotton,1.657
F01117,2019-K,Cotton,1.583
F01118,2019-K,Cotton,1.868
F01119,2019-K,Cotton,1.234
F01120,2019-K,Cotton,2.178
F01120,2019-K,Soybean,2.7
F01121,2019-K,Cotton,0.781
F01121,2019-K,Soybean,0.933
F01122,2019-K,Cotton,0.574
F01122,2019-K,Soybean,0.684
F01123,2019-K,Cotton,1.461
F01124,2019-K,Cotton,0.596
F01125,2019-K,Cotton,1.574
F01125,2019-K,Soybean,2.077
F01126,2019-K,Cotton,1.294
F01127,2019-K,Cotton,4.671
F01128,2019-K,Cotton,1.172
F01128,2019-K,Soybean,1.63
F01129,2019-K,Cotton,2.43
F01129,2019-K,Soybean,2.871
F01130,2019-K,Cotton,1.203
F01131,2019-K,Cotton,1.436
F01131,2019-K,Soybean,1.838
F01132,2019-K,Cotton,2.652
F01132,2019-K,Soybean,3.448
F01133,2019-K,Cotton,0.813
F01133,2019-K,Soybean,1.097
F01134,2019-K,Cotton,1.306
F01134,2019-K,Soybean,1.682
F01135,2019-K,Cotton,1.243
F01136,2019-K,Cotton,2.867
F01137,2019-K,Cotton,1.951
F01138,2019-K,Cotton,1.43
F01139,2019-K,Cotton,1.049
F01140,2019-K,Cotton,1.118
F01141,2019-K,Cotton,1.943
F01142,2019-K,Cotton,1.089
F01142,2019-K,Soybean,1.376
F01143,2019-K,Cotton,1.464
F01144,2019-K,Cotton,1.108
F01145,2019-K,Cotton,0.986
F01146,2019-K,Cotton,1.011
F01147,2019-K,Cotton,2.343
F01147,2019-K,Soybean,2.876
F01148,2019-K,Cotton,0.615
F01149,2019-K,Cotton,1.477
F01150,2019-K,Cotton,2.708
F01150,2019-K,Soybean,3.762
F01151,2019-K,Cotton,0.484
F01151,2019-K,Soybean,0.64
F01152,2019-K,Cotton,2.764
F01153,2019-K,Cotton,2.072
F01154,2019-K,Soybean,1.597
F01155,2019-K,Soybean,0.929
F01156,2019-K,Soybean,1.482
F01156,2019-K,Cotton,1.262
F01157,2019-K,Soybean,0.603
F01158,2019-K,Soybean,2.596
F01159,2019-K,Soybean,3.744
F01160,2019-K,Soybean,2.278
F01160,2019-K,Cotton,1.719
F01161,2019-K,Soybean,2.745
F01162,2019-K,Soybean,2.203
F01163,2019-K,Soybean,4.673
F01164,2019-K,Soybean,3.282
F01165,2019-K,Soybean,3.1
F01166,2019-K,Soybean,1.784
F01166,2019-K,Cotton,1.298
F01167,2019-K,Soybean,2.855
F01168,2019-K,Soybean,2.185
F01169,2019-K,Soybean,2.883
F01170,2019-K,Soybean,2.326
F01170,2019-K,Cotton,2.121
F01171,2019-K,Soybean,1.604
F01172,2019-K,Soybean,2.218
F01173,2019-K,Soybean,1.82
F01174,2019-K,Soybean,1.591
F01174,2019-K,Cotton,1.354
F01175,2019-K,Soybean,5.708
F01176,2019-K,Soybean,1.075
F01176,2019-K,Cotton,0.929
F01177,2019-K,Soybean,2.113
F01178,2019-K,Soybean,1.934
F01179,2019-K,Soybean,3.188
F01179,2019-K,Cotton,2.454
F01180,2019-K,Soybean,1.207
F01181,2019-K,Soybean,3.86
F01182,2019-K,Soybean,2.887
F01183,2019-K,Soybean,2.001
F01183,2019-K,Cotton,1.625
F01184,2019-K,Soybean,1.969
F01185,2019-K,Soybean,2.197
F01186,2019-K,Soybean,2.187
F01187,2019-K,Soybean,1.451
F01188,2019-K,Soybean,3.139
F01189,2019-K,Soybean,4.533
F01190,2019-K,Soybean,4.022
F01190,2019-K,Cotton,3.251
F01191,2019-K,Soybean,1.719
F01192,2019-K,Soybean,4.092
F01193,2019-K,Soybean,4.846
F01194,2019-K,Soybean,3.015
F01194,2019-K,Cotton,2.264
F01195,2019-K,Soybean,4.161
F01196,2019-K,Soybean,2.696
F01197,2019-K,Soybean,1.239
F01198,2019-K,Soybean,1.922
F01199,2019-K,Soybean,3.621
F01199,2019-K,Cotton,2.848
F01200,2019-K,Soybean,2.225
F01200,2019-K,Cotton,1.752
F01201,2019-K,Soybean,1.3
F01202,2019-K,Soybean,3.727
F01203,2019-K,Soybean,1.809
F01203,2019-K,Cotton,1.534
F01204,2019-K,Soybean,3.747
F01204,2019-K,Cotton,2.643
F01205,2019-K,Soybean,2.636
F01206,2019-K,Soybean,1.211
F01207,2019-K,Soybean,2.842
F01208,2019-K,Soybean,3.174
F01208,2019-K,Cotton,2.57
F01209,2019-K,Soybean,3.406
F01209,2019-K,Cotton,2.362
F01210,2019-K,Soybean,2.514
F01211,2019-K,Soybean,2.575
F01211,2019-K,Cotton,2.13
F01212,2019-K,Soybean,2.37
F01213,2019-K,Soybean,4.23
F01213,2019-K,Cotton,3.168
F01214,2019-K,Soybean,4.149
F01215,2019-K,Soybean,2.819
F01215,2019-K,Cotton,2.197
F01216,2019-K,Soybean,2.006
F01217,2019-K,Soybean,1.701
F01218,2019-K,Soybean,1.759
F01219,2019-K,Soybean,2.563
F01220,2019-K,Soybean,0.934
F01221,2019-K,Soybean,1.959
F01222,2019-K,Soybean,2.031
F01223,2019-K,Soybean,6.293
F01224,2019-K,Soybean,1.346
F01225,2019-K,Soybean,2.289
F01226,2019-K,Soybean,1.332
F01227,2019-K,Soybean,4.097
F01227,2019-K,Cotton,3.188
F01228,2019-K,Soybean,1.17
F01229,2019-K,Soybean,0.758
F01230,2019-K,Soybean,1.447
F01230,2019-K,Cotton,0.999
F01231,2019-K,Soybean,5.613
F01232,2019-K,Soybean,1.672
F01232,2019-K,Cotton,1.275
F01233,2019-K,Soybean,2.881
F01234,2019-K,Soybean,3.286
F01235,2019-K,Soybean,2.398
F01235,2019-K,Cotton,1.679
F01236,2019-K,Soybean,2.767
F01237,2019-K,Soybean,4.886
F01238,2019-K,Soybean,1.04
F01238,2019-K,Cotton,0.707
F01239,2019-K,Soybean,2.825
F01240,2019-K,Soybean,1.254
F01241,2019-K,Soybean,2.483
F01242,2019-K,Soybean,2.221
F01243,2019-K,Soybean,1.61
F01244,2019-K,Soybean,1.148
F01245,2019-K,Soybean,3.167
F01246,2019-K,Soybean,3.524
F01247,2019-K,Soybean,1.899
F01248,2019-K,Soybean,1.652
F01248,2019-K,Cotton,1.331
F01249,2019-K,Soybean,2.51
F01250,2019-K,Soybean,0.824
F01251,2019-K,Soybean,1.701
F01252,2019-K,Soybean,4.601
F01253,2019-K,Soybean,1.262
F01254,2019-K,Soybean,6.73
F01254,2019-K,Cotton,5.114
F01255,2019-K,Soybean,1.78
F01256,2019-K,Soybean,1.051
F01257,2019-K,Soybean,2.098
F01258,2019-K,Soybean,0.978
F01259,2019-K,Soybean,3.048
F01260,2019-K,Soybean,3.967
F01261,2019-K,Soybean,2.252
F01261,2019-K,Cotton,1.728
F01262,2019-K,Soybean,3.309
F01263,2019-K,Soybean,2.051
F01264,2019-K,Soybean,1.332
F01265,2019-K,Soybean,1.934
F01266,2019-K,Soybean,2.586
F01266,2019-K,Cotton,2.041
F01267,2019-K,Soybean,2.518
F01268,2019-K,Soybean,2.09
F01269,2019-K,Soybean,2.495
F01269,2019-K,Cotton,2.171
F01270,2019-K,Soybean,1.859
F01271,2019-K,Soybean,0.944
F01272,2019-K,Soybean,2.536
F01272,2019-K,Cotton,1.994
F01273,2019-K,Soybean,3.446
F01273,2019-K,Cotton,2.91
F01274,2019-K,Soybean,1.414
F01274,2019-K,Cotton,1.083
F01275,2019-K,Soybean,1.482
F01275,2019-K,Cotton,1.164
F01276,2019-K,Soybean,1.676
F01277,2019-K,Soybean,1.859
F01277,2019-K,Cotton,1.5
F01278,2019-K,Soybean,3.266
F01279,2019-K,Soybean,5.521
F01280,2019-K,Soybean,4.546
F01281,2019-K,Soybean,1.404
F01282,2019-K,Soybean,4.51
F01282,2019-K,Cotton,3.415
F01283,2019-K,Soybean,1.109
F01284,2019-K,Soybean,1.522
F01285,2019-K,Soybean,4.375
F01286,2019-K,Soybean,3.285
F01286,2019-K,Cotton,2.526
F01287,2019-K,Soybean,7.138
F01288,2019-K,Soybean,2.854
F01289,2019-K,Soybean,6.742
F01289,2019-K,Cotton,6.006
F01290,2019-K,Soybean,3.567
F01291,2019-K,Soybean,0.984
F01291,2019-K,Cotton,0.725
F01292,2019-K,Soybean,5.198
F01293,2019-K,Soybean,2.885
F01294,2019-K,Soybean,3.515
F01295,2019-K,Soybean,1.232
F01296,2019-K,Soybean,3.195
F01297,2019-K,Soybean,1.672
F01298,2019-K,Soybean,1.915
F01299,2019-K,Soybean,3.631
F01300,2019-K,Soybean,1.886
F01300,2019-K,Cotton,1.492
F01301,2019-K,Paddy,3.011
F01302,2019-K,Paddy,4.018
F01303,2019-K,Paddy,4.819
F01304,2019-K,Paddy,7.027
F01305,2019-K,Paddy,2.253
F01306,2019-K,Paddy,8.166
F01307,2019-K,Paddy,3.897
F01308,2019-K,Paddy,6.798
F01309,2019-K,Paddy,4.339
F01310,2019-K,Paddy,3.308
F01311,2019-K,Paddy,3.625
F01312,2019-K,Paddy,6.745
F01313,2019-K,Paddy,2.81
F01314,2019-K,Paddy,6.06
F01315,2019-K,Paddy,10.97
F01316,2019-K,Paddy,6.506
F01317,2019-K,Paddy,8.648
F01318,2019-K,Paddy,1.966
F01319,2019-K,Paddy,6.924
F01320,2019-K,Paddy,8.491
F01321,2019-K,Paddy,2.975
F01322,2019-K,Paddy,7.552
F01323,2019-K,Paddy,6.281
F01324,2019-K,Paddy,13.643
F01325,2019-K,Paddy,5.857
F01326,2019-K,Paddy,4.128
F01327,2019-K,Paddy,6.331
F01328,2019-K,Paddy,3.607
F01329,2019-K,Paddy,3.677
F01330,2019-K,Paddy,3.355
F01331,2019-K,Paddy,10.006
F01332,2019-K,Paddy,15.92
F01333,2019-K,Paddy,5.251
F01334,2019-K,Paddy,1.718
F01335,2019-K,Paddy,7.107
F01336,2019-K,Paddy,2.272
F01337,2019-K,Paddy,6.984
F01338,2019-K,Paddy,7.875
F01339,2019-K,Paddy,9.54
F01340,2019-K,Paddy,12.77
F01341,2019-K,Paddy,9.478
F01342,2019-K,Paddy,5.84
F01343,2019-K,Paddy,5.809
F01344,2019-K,Paddy,8.376
F01345,2019-K,Paddy,3.263
F01346,2019-K,Paddy,4.537
F01347,2019-K,Paddy,5.556
F01348,2019-K,Paddy,7.989
F01349,2019-K,Paddy,5.779
F01350,2019-K,Paddy,2.599
F01351,2019-K,Paddy,3.345
F01352,2019-K,Paddy,6.723
F01353,2019-K,Paddy,5.825
F01354,2019-K,Paddy,12.182
F01355,2019-K,Paddy,8.894
F01356,2019-K,Paddy,8.626
F01357,2019-K,Paddy,8.024
F01358,2019-K,Paddy,2.275
F01359,2019-K,Paddy,16.843
F01360,2019-K,Paddy,3.239
F01361,2019-K,Paddy,13.041
F01362,2019-K,Paddy,9.12
F01363,2019-K,Paddy,7.469
F01364,2019-K,Paddy,6.186
F01365,2019-K,Paddy,5.836
F01366,2019-K,Paddy,15.628
F01367,2019-K,Paddy,12.614
F01368,2019-K,Paddy,2.937
F01369,2019-K,Paddy,2.186
F01370,2019-K,Paddy,9.141
F01371,2019-K,Paddy,6.297
F01372,2019-K,Paddy,4.125
F01373,2019-K,Paddy,10.855
F01374,2019-K,Paddy,7.164
F01375,2019-K,Paddy,4.794
F01376,2019-K,Paddy,4.337
F01377,2019-K,Paddy,3.304
F01378,2019-K,Paddy,9.194
F01379,2019-K,Paddy,3.68
F01380,2019-K,Paddy,2.73
F01381,2019-K,Paddy,6.182
F01382,2019-K,Paddy,5.052
F01383,2019-K,Paddy,7.041
F01384,2019-K,Paddy,7.982
F01385,2019-K,Paddy,2.859
F01386,2019-K,Paddy,6.631
F01387,2019-K,Paddy,8.669
F01388,2019-K,Paddy,2.091
F01389,2019-K,Paddy,5.132
F01390,2019-K,Paddy,3.921
F01391,2019-K,Paddy,4.422
F01392,2019-K,Paddy,12.732
F01393,2019-K,Paddy,6.804
F01394,2019-K,Paddy,11.152
F01395,2019-K,Paddy,1.703
F01396,2019-K,Paddy,7.857
F01397,2019-K,Paddy,6.805
F01398,2019-K,Paddy,5.68
F01399,2019-K,Paddy,5.261
F01400,2019-K,Paddy,10.491
F01401,2019-K,Paddy,4.874
F01402,2019-K,Paddy,4.705
F01403,2019-K,Paddy,4.372
F01404,2019-K,Paddy,5.436
F01405,2019-K,Paddy,3.168
F01406,2019-K,Paddy,2.884
F01407,2019-K,Paddy,17.026
F01408,2019-K,Paddy,6.905
F01409,2019-K,Paddy,12.224
F01410,2019-K,Paddy,15.209
F01411,2019-K,Paddy,2.362
F01412,2019-K,Paddy,9.515
F01413,2019-K,Paddy,2.364
F01414,2019-K,Paddy,6.974
F01415,2019-K,Paddy,5.661
F01416,2019-K,Paddy,6.049
F01417,2019-K,Paddy,7.366
F01418,2019-K,Paddy,2.25
F01419,2019-K,Paddy,4.987
F01420,2019-K,Paddy,10.31
F01421,2019-K,Paddy,10.079
F01422,2019-K,Paddy,2.848
F01423,2019-K,Paddy,3.379
F01424,2019-K,Paddy,10.014
F01425,2019-K,Paddy,4.253
F01426,2019-K,Paddy,9.924
F01427,2019-K,Paddy,8.448
F01428,2019-K,Paddy,4.153
F01429,2019-K,Paddy,14.238
F01430,2019-K,Paddy,6.17
F01431,2019-K,Paddy,5.808
F01432,2019-K,Paddy,3.614
F01433,2019-K,Paddy,3.785
F01434,2019-K,Paddy,8.886
F01435,2019-K,Paddy,5.44
F01436,2019-K,Paddy,14.606
F01437,2019-K,Paddy,4.317
F01438,2019-K,Paddy,29.517
F01439,2019-K,Paddy,3.57
F01440,2019-K,Paddy,15.293
F01441,2019-K,Paddy,6.442
F01442,2019-K,Paddy,24.15
F01443,2019-K,Paddy,2.715
F01444,2019-K,Paddy,6.432
F01445,2019-K,Paddy,6.841
F01446,2019-K,Paddy,3.802
F01447,2019-K,Paddy,12.959
F01448,2019-K,Paddy,8.642
F01449,2019-K,Paddy,8.657
F01450,2019-K,Paddy,5.99
F01451,2019-K,Paddy,6.562
F01452,2019-K,Paddy,4.366
F01453,2019-K,Paddy,11.0
F01454,2019-K,Paddy,3.513
F01455,2019-K,Paddy,4.18
F01456,2019-K,Paddy,7.321
F01457,2019-K,Paddy,3.821
F01458,2019-K,Soybean,1.922
F01459,2019-K,Soybean,1.736
F01460,2019-K,Soybean,2.167
F01461,2019-K,Soybean,4.23
F01462,2019-K,Soybean,2.062
F01463,2019-K,Soybean,1.3
F01464,2019-K,Soybean,1.36
F01465,2019-K,Soybean,1.602
F01466,2019-K,Soybean,2.763
F01467,2019-K,Soybean,1.687
F01468,2019-K,Soybean,1.524
F01469,2019-K,Soybean,1.803
F01470,2019-K,Soybean,2.074
F01471,2019-K,Soybean,1.331
F01472,2019-K,Soybean,2.639
F01473,2019-K,Soybean,1.167
F01474,2019-K,Soybean,3.147
F01475,2019-K,Soybean,5.647
F01476,2019-K,Soybean,7.724
F01477,2019-K,Soybean,1.361
F01478,2019-K,Soybean,0.972
F01479,2019-K,Soybean,2.439
F01480,2019-K,Soybean,4.356
F01481,2019-K,Soybean,2.064
F01482,2019-K,Soybean,2.075
F01483,2019-K,Soybean,2.128
F01484,2019-K,Soybean,1.701
F01485,2019-K,Soybean,1.364
F01486,2019-K,Soybean,3.425
F01487,2019-K,Soybean,1.296
F01488,2019-K,Soybean,2.164
F01489,2019-K,Soybean,3.851
F01490,2019-K,Soybean,8.363
F01491,2019-K,Soybean,1.81
F01492,2019-K,Soybean,4.106
F01493,2019-K,Soybean,2.07
F01494,2019-K,Soybean,1.789
F01495,2019-K,Soybean,1.951
F01496,2019-K,Soybean,2.59
F01497,2019-K,Soybean,1.525
F01498,2019-K,Soybean,2.013
F01499,2019-K,Soybean,1.297
F01500,2019-K,Soybean,2.032
F01501,2019-K,Soybean,1.263
F01502,2019-K,Soybean,2.446
F01503,2019-K,Soybean,5.243
F01504,2019-K,Soybean,2.022
F01505,2019-K,Soybean,1.756
F01506,2019-K,Soybean,3.518
F01507,2019-K,Soybean,3.726
F01508,2019-K,Soybean,1.302
F01509,2019-K,Soybean,2.964
F01510,2019-K,Soybean,1.388
F01511,2019-K,Soybean,2.442
F01512,2019-K,Soybean,1.732
F01513,2019-K,Soybean,5.424
F01514,2019-K,Soybean,1.585
F01515,2019-K,Soybean,2.757
F01516,2019-K,Soybean,1.359
F01517,2019-K,Soybean,2.089
F01518,2019-K,Soybean,1.349
F01519,2019-K,Soybean,3.033
F01520,2019-K,Soybean,2.335
F01521,2019-K,Soybean,0.606
F01522,2019-K,Soybean,3.77
F01523,2019-K,Soybean,2.911
F01524,2019-K,Soybean,4.312
F01525,2019-K,Soybean,1.078
F01526,2019-K,Soybean,3.097
F01527,2019-K,Soybean,1.614
F01528,2019-K,Soybean,1.102
F01529,2019-K,Soybean,1.452
F01530,2019-K,Soybean,3.314
F01531,2019-K,Soybean,1.048
F01532,2019-K,Soybean,6.033
F01533,2019-K,Soybean,2.923
F01534,2019-K,Soybean,1.613
F01535,2019-K,Soybean,3.649
F01536,2019-K,Soybean,3.484
F01537,2019-K,Soybean,1.698
F01538,2019-K,Soybean,2.828
F01539,2019-K,Soybean,1.857
F01540,2019-K,Soybean,2.304
F01541,2019-K,Soybean,1.553
F01542,2019-K,Soybean,2.501
F01543,2019-K,Soybean,3.186
F01544,2019-K,Soybean,1.566
F01545,2019-K,Soybean,2.049
F01546,2019-K,Soybean,1.624
F01547,2019-K,Soybean,2.595
F01548,2019-K,Soybean,1.116
F01549,2019-K,Soybean,2.724
F01550,2019-K,Soybean,4.511
F01551,2019-K,Soybean,3.036
F01552,2019-K,Soybean,5.541
F01553,2019-K,Soybean,1.238
F01554,2019-K,Soybean,3.081
F01555,2019-K,Soybean,1.972
F01556,2019-K,Soybean,2.96
F01557,2019-K,Soybean,1.744
F01558,2019-K,Soybean,3.328
F01559,2019-K,Soybean,4.432
F01560,2019-K,Soybean,1.688
F01561,2019-K,Soybean,1.843
F01562,2019-K,Soybean,6.448
F01563,2019-K,Soybean,2.171
F01564,2019-K,Soybean,1.984
F01565,2019-K,Soybean,2.141
F01566,2019-K,Soybean,4.371
F01567,2019-K,Soybean,2.637
F01568,2019-K,Soybean,3.45
F01569,2019-K,Soybean,2.692
F01570,2019-K,Soybean,5.325
F01571,2019-K,Soybean,4.467
F01572,2019-K,Soybean,2.027
F01573,2019-K,Soybean,1.984
F01574,2019-K,Soybean,3.843
F01575,2019-K,Soybean,3.2
F01576,2019-K,Soybean,1.436
F01577,2019-K,Soybean,1.009
F01578,2019-K,Soybean,0.998
F01579,2019-K,Soybean,1.519
F01580,2019-K,Soybean,1.383
F01581,2019-K,Soybean,1.328
F01582,2019-K,Soybean,1.974
F01583,2019-K,Soybean,1.341
F01584,2019-K,Soybean,1.018
F01585,2019-K,Soybean,4.597
F01586,2019-K,Soybean,3.3
F01587,2019-K,Soybean,1.728
F01588,2019-K,Soybean,1.703
F01589,2019-K,Soybean,3.446
F01590,2019-K,Soybean,0.862
F01591,2019-K,Soybean,2.482
F01592,2019-K,Soybean,2.537
F01593,2019-K,Soybean,2.646
F01594,2019-K,Soybean,3.514
F01595,2019-K,Soybean,1.557
F01596,2019-K,Soybean,2.006
F01597,2019-K,Soybean,5.346
F01598,2019-K,Soybean,1.833
F01599,2019-K,Soybean,4.728
F01600,2019-K,Soybean,1.913
F01601,2019-K,Soybean,2.385
F01602,2019-K,Soybean,3.907
F01603,2019-K,Soybean,9.351
F01604,2019-K,Soybean,1.373
F01605,2019-K,Soybean,5.081
F01606,2019-K,Soybean,1.428
F01607,2019-K,Soybean,2.614
F01608,2019-K,Soybean,2.098
F01609,2019-K,Soybean,1.944
F01610,2019-K,Soybean,2.117
F01611,2019-K,Soybean,2.6
F01612,2019-K,Soybean,1.947
F01613,2019-K,Soybean,2.488
F01614,2019-K,Soybean,2.047
F01615,2019-K,Soybean,1.746
F01616,2019-K,Soybean,1.179
F01617,2019-K,Soybean,1.519
F01618,2019-K,Soybean,1.489
F01619,2019-K,Soybean,0.826
F01620,2019-K,Soybean,4.297
F01621,2019-K,Soybean,0.927
F01622,2019-K,Soybean,5.215
F01623,2019-K,Soybean,3.418
F01624,2019-K,Soybean,3.127
F01625,2019-K,Soybean,1.312
F01626,2019-K,Soybean,1.79
F01627,2019-K,Soybean,4.583
F01628,2019-K,Soybean,1.926
F01629,2019-K,Soybean,1.261
F01630,2019-K,Soybean,1.798
F01631,2019-K,Soybean,7.366
F01632,2019-K,Soybean,1.037
F01633,2019-K,Soybean,3.729
F01634,2019-K,Soybean,4.867
F01635,2019-K,Soybean,4.957
F01636,2019-K,Soybean,2.121
F01637,2019-K,Soybean,6.158
F01638,2019-K,Soybean,0.77
F01639,2019-K,Soybean,2.404
F01640,2019-K,Soybean,5.242
F01641,2019-K,Soybean,1.513
F01642,2019-K,Soybean,1.436
F01643,2019-K,Soybean,2.041
F01644,2019-K,Soybean,4.397
F01645,2019-K,Soybean,6.667
F01646,2019-K,Soybean,1.982
F01647,2019-K,Soybean,2.637
F01648,2019-K,Soybean,0.787
F01649,2019-K,Soybean,3.319
F01650,2019-K,Soybean,1.863
F01651,2019-K,Soybean,1.556
F01652,2019-K,Soybean,1.748
F01653,2019-K,Soybean,1.328
F01654,2019-K,Soybean,7.802
F01655,2019-K,Soybean,2.389
F01656,2019-K,Soybean,1.284
F01657,2019-K,Soybean,2.541
F01658,2019-K,Soybean,4.479
F01659,2019-K,Soybean,8.718
F01660,2019-K,Soybean,1.303
F01661,2019-K,Soybean,2.362
F01662,2019-K,Soybean,1.545
F01663,2019-K,Soybean,1.775
F01664,2019-K,Soybean,1.433
F01665,2019-K,Soybean,1.583
F01666,2019-K,Soybean,1.926
F01667,2019-K,Soybean,1.652
F01668,2019-K,Soybean,3.733
F01669,2019-K,Soybean,6.242
F01670,2019-K,Soybean,2.87
F01671,2019-K,Soybean,1.344
