farmer_id,season,side_share,yield_factor,severe_drought,defected_after
F01075,2019-K,0.311,1.036,False,False
F01076,2019-K,0.479,1.0,False,False
F01077,2019-K,0.381,0.965,False,True
F01078,2019-K,0.824,1.024,False,False
F01079,2019-K,0.559,0.969,False,False
F01080,2019-K,0.225,0.931,False,True
F01081,2019-K,0.73,0.987,False,False
F01082,2019-K,0.652,1.056,False,False
F01083,2019-K,0.434,0.961,False,False
F01084,2019-K,0.345,1.026,False,True
F01085,2019-K,0.474,1.041,False,False
F01086,2019-K,0.405,1.015,False,False
F01087,2019-K,0.486,1.016,False,False
F01088,2019-K,0.707,1.03,False,False
F01089,2019-K,0.562,0.943,False,False
F01090,2019-K,0.604,0.92,False,False
F01091,2019-K,0.666,1.003,False,False
F01092,2019-K,0.571,0.955,False,False
F01093,2019-K,0.619,0.969,False,False
F01094,2019-K,0.18,0.938,False,True
F01095,2019-K,0.541,0.996,False,False
F01096,2019-K,0.154,1.006,False,True
F01097,2019-K,0.373,1.038,False,True
F01098,2019-K,0.618,1.015,False,False
F01099,2019-K,0.479,1.016,False,False
F01100,2019-K,0.657,1.005,False,False
F01101,2019-K,0.367,0.926,False,True
F01102,2019-K,0.684,1.043,False,False
F01103,2019-K,0.449,0.994,False,True
F01104,2019-K,0.86,1.014,False,False
F01105,2019-K,0.796,1.012,False,False
F01106,2019-K,0.358,0.96,False,True
F01107,2019-K,0.768,0.945,False,False
F01108,2019-K,0.387,1.047,False,True
F01109,2019-K,0.734,0.931,False,False
F01110,2019-K,0.778,1.03,False,False
F01111,2019-K,0.746,0.937,False,False
F01112,2019-K,0.767,0.995,False,False
F01113,2019-K,0.424,0.998,False,False
F01114,2019-K,0.571,1.043,False,False
F01115,2019-K,0.869,1.043,False,False
F01116,2019-K,0.844,0.936,False,False
F01117,2019-K,0.546,0.957,False,False
F01118,2019-K,0.339,1.058,False,True
F01119,2019-K,0.252,1.033,False,True
F01120,2019-K,0.699,0.991,False,False
F01121,2019-K,0.547,0.944,False,False
F01122,2019-K,0.598,1.035,False,False
F01123,2019-K,0.472,0.957,False,False
F01124,2019-K,0.296,0.995,False,True
F01125,2019-K,0.676,0.952,False,False
F01126,2019-K,0.419,0.959,False,False
F01127,2019-K,0.642,0.99,False,False
F01128,2019-K,0.543,0.967,False,False
F01129,2019-K,0.256,1.036,False,True
F01130,2019-K,0.424,0.995,False,False
F01131,2019-K,0.648,0.933,False,False
F01132,2019-K,0.448,0.965,False,False
F01133,2019-K,0.51,0.94,False,False
F01134,2019-K,0.153,1.008,False,True
F01135,2019-K,0.51,0.97,False,False
F01136,2019-K,0.315,0.933,False,True
F01137,2019-K,0.406,1.022,False,False
F01138,2019-K,0.512,0.984,False,False
F01139,2019-K,0.754,1.023,False,False
F01140,2019-K,0.419,0.976,False,False
F01141,2019-K,0.82,0.923,False,False
F01142,2019-K,0.52,0.944,False,False
F01143,2019-K,0.409,1.042,False,False
F01144,2019-K,0.46,1.001,False,True
F01145,2019-K,0.299,0.98,False,True
F01146,2019-K,0.57,0.968,False,False
F01147,2019-K,0.665,0.99,False,False
F01148,2019-K,0.498,1.013,False,False
F01149,2019-K,0.511,0.949,False,False
F01150,2019-K,0.637,0.926,False,False
F01151,2019-K,0.783,0.975,False,False
F01152,2019-K,0.647,0.952,False,False
F01153,2019-K,0.702,0.987,False,False
F01154,2019-K,0.064,1.056,False,True
F01155,2019-K,0.499,0.987,False,False
F01156,2019-K,0.12,1.01,False,True
F01157,2019-K,0.168,1.051,False,True
F01158,2019-K,0.559,0.942,False,False
F01159,2019-K,0.597,0.943,False,False
F01160,2019-K,0.602,0.952,False,False
F01161,2019-K,0.271,1.042,False,True
F01162,2019-K,0.601,0.94,False,False
F01163,2019-K,0.66,1.013,False,False
F01164,2019-K,0.756,1.013,False,False
F01165,2019-K,0.778,1.0,False,False
F01166,2019-K,0.173,0.935,False,True
F01167,2019-K,0.207,0.98,False,True
F01168,2019-K,0.464,0.933,False,False
F01169,2019-K,0.675,0.93,False,False
F01170,2019-K,0.764,0.954,False,False
F01171,2019-K,0.692,1.038,False,False
F01172,2019-K,0.522,0.994,False,False
F01173,2019-K,0.08,0.927,False,True
F01174,2019-K,0.383,0.969,False,True
F01175,2019-K,0.451,0.942,False,False
F01176,2019-K,0.551,1.006,False,False
F01177,2019-K,0.302,0.944,False,False
F01178,2019-K,0.441,1.03,False,True
F01179,2019-K,0.703,0.953,False,False
F01180,2019-K,0.838,1.008,False,False
F01181,2019-K,0.439,0.922,False,False
F01182,2019-K,0.322,1.036,False,True
F01183,2019-K,0.781,0.977,False,False
F01184,2019-K,0.398,1.019,False,False
F01185,2019-K,0.115,0.957,False,True
F01186,2019-K,0.58,1.043,False,True
F01187,2019-K,0.363,0.924,False,True
F01188,2019-K,0.766,0.969,False,False
F01189,2019-K,0.666,1.016,False,False
F01190,2019-K,0.356,1.015,False,True
F01191,2019-K,0.531,0.948,False,False
F01192,2019-K,0.4,0.997,False,True
F01193,2019-K,0.653,0.951,False,False
F01194,2019-K,0.32,1.001,False,False
F01195,2019-K,0.799,0.95,False,False
F01196,2019-K,0.212,1.021,False,True
F01197,2019-K,0.834,1.021,False,False
F01198,2019-K,0.349,0.948,False,True
F01199,2019-K,0.598,1.008,False,False
F01200,2019-K,0.452,1.026,False,False
F01201,2019-K,0.415,0.954,False,False
F01202,2019-K,0.704,1.026,False,False
F01203,2019-K,0.757,1.016,False,False
F01204,2019-K,0.622,0.994,False,False
F01205,2019-K,0.606,1.028,False,False
F01206,2019-K,0.713,1.007,False,False
F01207,2019-K,0.719,1.041,False,False
F01208,2019-K,0.293,0.93,False,True
F01209,2019-K,0.358,0.956,False,True
F01210,2019-K,0.634,1.03,False,False
F01211,2019-K,0.775,1.042,False,False
F01212,2019-K,0.353,0.981,False,True
F01213,2019-K,0.679,0.926,False,False
F01214,2019-K,0.399,0.993,False,True
F01215,2019-K,0.525,0.984,False,False
F01216,2019-K,0.755,1.022,False,False
F01217,2019-K,0.441,0.937,False,False
F01218,2019-K,0.797,1.017,False,False
F01219,2019-K,0.56,0.986,False,False
F01220,2019-K,0.286,0.924,False,True
F01221,2019-K,0.473,1.024,False,False
F01222,2019-K,0.34,1.04,False,True
F01223,2019-K,0.847,1.041,False,False
F01224,2019-K,0.543,1.019,False,False
F01225,2019-K,0.534,1.051,False,False
F01226,2019-K,0.816,0.949,False,False
F01227,2019-K,0.539,0.993,False,False
F01228,2019-K,0.479,0.997,False,False
F01229,2019-K,0.178,0.928,False,True
F01230,2019-K,0.359,0.973,False,True
F01231,2019-K,0.264,1.004,False,True
F01232,2019-K,0.317,1.006,False,False
F01233,2019-K,0.357,0.972,False,True
F01234,2019-K,0.277,1.009,False,True
F01235,2019-K,0.488,0.925,False,False
F01236,2019-K,0.728,1.006,False,False
F01237,2019-K,0.785,0.956,False,False
F01238,2019-K,0.706,0.929,False,False
F01239,2019-K,0.791,0.967,False,False
F01240,2019-K,0.169,1.05,False,True
F01241,2019-K,0.644,1.057,False,False
F01242,2019-K,0.188,0.958,False,False
F01243,2019-K,0.426,1.05,False,False
F01244,2019-K,0.275,0.999,False,True
F01245,2019-K,0.655,1.037,False,False
F01246,2019-K,0.511,0.963,False,False
F01247,2019-K,0.325,0.954,False,True
F01248,2019-K,0.493,0.998,False,False
F01249,2019-K,0.792,0.941,False,False
F01250,2019-K,0.794,0.942,False,False
F01251,2019-K,0.674,1.047,False,False
F01252,2019-K,0.209,0.987,False,True
F01253,2019-K,0.265,1.037,False,True
F01254,2019-K,0.466,1.034,False,False
F01255,2019-K,0.165,0.996,False,True
F01256,2019-K,0.291,1.024,False,True
F01257,2019-K,0.02,0.937,False,True
F01258,2019-K,0.02,0.96,False,True
F01259,2019-K,0.382,0.927,False,True
F01260,2019-K,0.422,1.019,False,False
F01261,2019-K,0.4,1.005,False,False
F01262,2019-K,0.48,1.01,False,False
F01263,2019-K,0.661,0.956,False,False
F01264,2019-K,0.65,1.022,False,False
F01265,2019-K,0.369,0.986,False,True
F01266,2019-K,0.162,0.921,False,True
F01267,2019-K,0.167,1.056,False,True
F01268,2019-K,0.382,0.967,False,True
F01269,2019-K,0.474,0.972,False,False
F01270,2019-K,0.381,0.986,False,True
F01271,2019-K,0.377,1.036,False,True
F01272,2019-K,0.142,0.926,False,True
F01273,2019-K,0.248,0.971,False,False
F01274,2019-K,0.675,0.924,False,False
F01275,2019-K,0.533,0.976,False,False
F01276,2019-K,0.709,0.991,False,False
F01277,2019-K,0.412,0.998,False,False
F01278,2019-K,0.365,1.05,False,True
F01279,2019-K,0.311,1.016,False,True
F01280,2019-K,0.633,1.011,False,False
F01281,2019-K,0.391,0.995,False,True
F01282,2019-K,0.776,0.97,False,False
F01283,2019-K,0.5,1.001,False,False
F01284,2019-K,0.14,1.041,False,True
F01285,2019-K,0.521,0.993,False,False
F01286,2019-K,0.69,0.944,False,False
F01287,2019-K,0.181,1.018,False,True
F01288,2019-K,0.77,1.042,False,False
F01289,2019-K,0.122,0.924,False,True
F01290,2019-K,0.219,0.993,False,True
F01291,2019-K,0.326,0.988,False,True
F01292,2019-K,0.813,0.988,False,False
F01293,2019-K,0.481,1.013,False,False
F01294,2019-K,0.498,1.054,False,False
F01295,2019-K,0.677,0.961,False,False
F01296,2019-K,0.652,1.015,False,False
F01297,2019-K,0.594,0.957,False,False
F01298,2019-K,0.665,0.93,False,False
F01299,2019-K,0.426,1.03,False,False
F01300,2019-K,0.374,0.995,False,True
F01301,2019-K,0.874,0.995,False,False
F01302,2019-K,0.703,1.038,False,False
F01303,2019-K,0.588,1.002,False,False
F01304,2019-K,0.588,1.023,False,False
F01305,2019-K,0.662,1.024,False,False
F01306,2019-K,0.245,1.017,False,True
F01307,2019-K,0.84,1.058,False,False
F01308,2019-K,0.814,1.058,False,False
F01309,2019-K,0.642,1.022,False,False
F01310,2019-K,0.545,0.936,False,False
F01311,2019-K,0.564,0.98,False,False
F01312,2019-K,0.807,0.968,False,False
F01313,2019-K,0.474,0.979,False,False
F01314,2019-K,0.25,1.019,False,True
F01315,2019-K,0.391,0.954,False,True
F01316,2019-K,0.484,1.047,False,False
F01317,2019-K,0.608,0.935,False,False
F01318,2019-K,0.428,0.929,False,False
F01319,2019-K,0.81,1.027,False,False
F01320,2019-K,0.489,1.003,False,False
F01321,2019-K,0.888,0.967,False,False
F01322,2019-K,0.607,0.971,False,False
F01323,2019-K,0.573,1.029,False,False
F01324,2019-K,0.547,0.945,False,False
F01325,2019-K,0.641,0.981,False,False
F01326,2019-K,0.429,0.991,False,False
F01327,2019-K,0.537,1.045,False,False
F01328,2019-K,0.593,1.033,False,False
F01329,2019-K,0.774,1.018,False,False
F01330,2019-K,0.465,0.972,False,False
F01331,2019-K,0.822,1.037,False,False
F01332,2019-K,0.458,0.962,False,True
F01333,2019-K,0.459,0.926,False,False
F01334,2019-K,0.311,1.058,False,True
F01335,2019-K,0.754,0.983,False,False
F01336,2019-K,0.233,1.019,False,True
F01337,2019-K,0.784,1.009,False,False
F01338,2019-K,0.805,0.971,False,False
F01339,2019-K,0.583,1.059,False,False
F01340,2019-K,0.591,0.921,False,False
F01341,2019-K,0.661,0.925,False,False
F01342,2019-K,0.693,1.042,False,False
F01343,2019-K,0.632,0.925,False,False
F01344,2019-K,0.335,1.0,False,True
F01345,2019-K,0.748,0.949,False,False
F01346,2019-K,0.584,0.981,False,False
F01347,2019-K,0.588,0.958,False,False
F01348,2019-K,0.506,1.027,False,False
F01349,2019-K,0.335,0.92,False,True
F01350,2019-K,0.699,0.92,False,False
F01351,2019-K,0.868,1.002,False,False
F01352,2019-K,0.753,1.032,False,False
F01353,2019-K,0.685,0.952,False,False
F01354,2019-K,0.489,0.971,False,False
F01355,2019-K,0.598,0.968,False,False
F01356,2019-K,0.632,0.973,False,False
F01357,2019-K,0.317,0.978,False,True
F01358,2019-K,0.274,1.0,False,True
F01359,2019-K,0.179,0.958,False,True
F01360,2019-K,0.722,1.027,False,False
F01361,2019-K,0.373,0.978,False,True
F01362,2019-K,0.828,0.994,False,False
F01363,2019-K,0.388,1.059,False,True
F01364,2019-K,0.78,1.032,False,False
F01365,2019-K,0.698,0.993,False,False
F01366,2019-K,0.453,1.018,False,False
F01367,2019-K,0.356,1.04,False,True
F01368,2019-K,0.447,0.942,False,False
F01369,2019-K,0.767,1.052,False,False
F01370,2019-K,0.86,0.941,False,False
F01371,2019-K,0.173,0.923,False,True
F01372,2019-K,0.62,1.02,False,False
F01373,2019-K,0.308,0.965,False,True
F01374,2019-K,0.478,1.012,False,False
F01375,2019-K,0.305,0.988,False,True
F01376,2019-K,0.568,0.923,False,False
F01377,2019-K,0.576,1.018,False,False
F01378,2019-K,0.795,0.955,False,False
F01379,2019-K,0.81,1.016,False,False
F01380,2019-K,0.667,1.028,False,False
F01381,2019-K,0.336,0.946,False,True
F01382,2019-K,0.884,0.927,False,False
F01383,2019-K,0.425,0.958,False,False
F01384,2019-K,0.764,0.942,False,False
F01385,2019-K,0.515,0.935,False,False
F01386,2019-K,0.759,0.981,False,False
F01387,2019-K,0.241,0.982,False,True
F01388,2019-K,0.406,1.047,False,False
F01389,2019-K,0.537,1.024,False,False
F01390,2019-K,0.528,1.005,False,False
F01391,2019-K,0.798,0.999,False,False
F01392,2019-K,0.834,1.053,False,False
F01393,2019-K,0.502,1.036,False,False
F01394,2019-K,0.633,0.964,False,False
F01395,2019-K,0.886,0.969,False,False
F01396,2019-K,0.875,1.006,False,False
F01397,2019-K,0.362,1.039,False,True
F01398,2019-K,0.753,1.029,False,False
F01399,2019-K,0.314,0.948,False,True
F01400,2019-K,0.695,0.953,False,False
F01401,2019-K,0.767,1.025,False,False
F01402,2019-K,0.843,0.985,False,False
F01403,2019-K,0.661,1.009,False,False
F01404,2019-K,0.643,0.978,False,False
F01405,2019-K,0.497,0.943,False,False
F01406,2019-K,0.277,0.934,False,True
F01407,2019-K,0.279,0.944,False,True
F01408,2019-K,0.588,0.985,False,False
F01409,2019-K,0.572,0.952,False,False
F01410,2019-K,0.318,1.012,False,True
F01411,2019-K,0.312,1.056,False,True
F01412,2019-K,0.707,0.988,False,False
F01413,2019-K,0.264,1.018,False,True
F01414,2019-K,0.534,1.055,False,False
F01415,2019-K,0.152,1.05,False,True
F01416,2019-K,0.303,0.936,False,True
F01417,2019-K,0.596,1.027,False,False
F01418,2019-K,0.312,0.931,False,True
F01419,2019-K,0.634,1.031,False,False
F01420,2019-K,0.582,1.056,False,False
F01421,2019-K,0.328,1.049,False,True
F01422,2019-K,0.286,1.054,False,True
F01423,2019-K,0.144,0.943,False,True
F01424,2019-K,0.644,0.927,False,False
F01425,2019-K,0.632,1.0,False,False
F01426,2019-K,0.372,1.028,False,False
F01427,2019-K,0.398,1.024,False,True
F01428,2019-K,0.702,0.968,False,False
F01429,2019-K,0.02,0.963,False,True
F01430,2019-K,0.646,0.955,False,False
F01431,2019-K,0.652,1.023,False,False
F01432,2019-K,0.606,0.953,False,False
F01433,2019-K,0.53,0.944,False,False
F01434,2019-K,0.289,0.932,False,True
F01435,2019-K,0.157,1.012,False,True
F01436,2019-K,0.276,1.026,False,True
F01437,2019-K,0.59,0.997,False,False
F01438,2019-K,0.226,0.949,False,True
F01439,2019-K,0.367,0.928,False,True
F01440,2019-K,0.275,1.015,False,True
F01441,2019-K,0.697,1.052,False,False
F01442,2019-K,0.362,1.049,False,True
F01443,2019-K,0.317,0.922,False,True
F01444,2019-K,0.477,0.962,False,False
F01445,2019-K,0.169,0.953,False,True
F01446,2019-K,0.13,1.055,False,True
F01447,2019-K,0.698,0.983,False,False
F01448,2019-K,0.589,0.942,False,False
F01449,2019-K,0.232,0.964,False,True
F01450,2019-K,0.765,0.983,False,False
F01451,2019-K,0.464,0.982,False,False
F01452,2019-K,0.591,0.99,False,False
F01453,2019-K,0.705,1.016,False,False
F01454,2019-K,0.271,1.04,False,True
F01455,2019-K,0.206,1.014,False,True
F01456,2019-K,0.243,0.959,False,True
F01457,2019-K,0.687,1.044,False,False
F01458,2019-K,0.472,1.003,False,False
F01459,2019-K,0.285,1.04,False,True
F01460,2019-K,0.26,0.993,False,True
F01461,2019-K,0.316,1.044,False,True
F01462,2019-K,0.319,1.005,False,False
F01463,2019-K,0.399,1.02,False,True
F01464,2019-K,0.571,0.93,False,False
F01465,2019-K,0.569,0.989,False,False
F01466,2019-K,0.637,1.047,False,False
F01467,2019-K,0.596,0.959,False,False
F01468,2019-K,0.503,1.045,False,False
F01469,2019-K,0.722,0.927,False,True
F01470,2019-K,0.454,0.998,False,False
F01471,2019-K,0.232,1.042,False,False
F01472,2019-K,0.764,0.931,False,False
F01473,2019-K,0.714,0.97,False,False
F01474,2019-K,0.378,1.009,False,True
F01475,2019-K,0.233,1.003,False,True
F01476,2019-K,0.624,1.046,False,False
F01477,2019-K,0.156,0.987,False,True
F01478,2019-K,0.363,0.942,False,True
F01479,2019-K,0.506,1.046,False,False
F01480,2019-K,0.197,1.006,False,True
F01481,2019-K,0.619,0.95,False,False
F01482,2019-K,0.236,1.039,False,True
F01483,2019-K,0.343,1.004,False,True
F01484,2019-K,0.527,0.983,False,False
F01485,2019-K,0.548,0.967,False,False
F01486,2019-K,0.435,0.954,False,False
F01487,2019-K,0.414,1.056,False,False
F01488,2019-K,0.378,0.995,False,True
F01489,2019-K,0.593,0.92,False,False
F01490,2019-K,0.691,1.055,False,False
F01491,2019-K,0.437,0.994,False,False
F01492,2019-K,0.734,0.975,False,False
F01493,2019-K,0.408,1.007,False,False
F01494,2019-K,0.313,1.029,False,True
F01495,2019-K,0.611,0.96,False,False
F01496,2019-K,0.449,1.052,False,True
F01497,2019-K,0.503,1.005,False,False
F01498,2019-K,0.658,0.962,False,False
F01499,2019-K,0.734,0.955,False,False
F01500,2019-K,0.467,0.929,False,False
F01501,2019-K,0.461,0.95,False,False
F01502,2019-K,0.598,0.942,False,False
F01503,2019-K,0.265,0.945,False,False
F01504,2019-K,0.435,0.989,False,False
F01505,2019-K,0.468,0.963,False,False
F01506,2019-K,0.28,0.944,False,True
F01507,2019-K,0.252,1.016,False,True
F01508,2019-K,0.416,0.92,False,False
F01509,2019-K,0.702,1.02,False,False
F01510,2019-K,0.572,1.024,False,False
F01511,2019-K,0.626,0.949,False,False
F01512,2019-K,0.446,1.055,False,False
F01513,2019-K,0.643,1.055,False,False
F01514,2019-K,0.503,0.967,False,False
F01515,2019-K,0.427,0.942,False,False
F01516,2019-K,0.414,0.936,False,False
F01517,2019-K,0.133,0.96,False,True
F01518,2019-K,0.595,0.98,False,False
F01519,2019-K,0.212,1.017,False,True
F01520,2019-K,0.716,0.953,False,False
F01521,2019-K,0.262,1.026,False,True
F01522,2019-K,0.459,0.992,False,False
F01523,2019-K,0.371,0.955,False,True
F01524,2019-K,0.087,0.946,False,True
F01525,2019-K,0.685,1.059,False,False
F01526,2019-K,0.476,1.032,False,False
F01527,2019-K,0.534,1.047,False,False
F01528,2019-K,0.489,0.957,False,False
F01529,2019-K,0.15,0.969,False,True
F01530,2019-K,0.559,1.051,False,False
F01531,2019-K,0.446,1.015,False,False
F01532,2019-K,0.149,0.939,False,True
F01533,2019-K,0.395,1.002,False,True
F01534,2019-K,0.213,0.978,False,True
F01535,2019-K,0.49,0.93,False,False
F01536,2019-K,0.292,0.932,False,True
F01537,2019-K,0.626,1.049,False,False
F01538,2019-K,0.626,0.974,False,False
F01539,2019-K,0.103,1.053,False,True
F01540,2019-K,0.324,0.922,False,False
F01541,2019-K,0.272,0.933,False,True
F01542,2019-K,0.539,0.979,False,False
F01543,2019-K,0.612,0.937,False,False
F01544,2019-K,0.734,1.025,False,False
F01545,2019-K,0.718,0.967,False,False
F01546,2019-K,0.655,0.969,False,False
F01547,2019-K,0.495,1.042,False,False
F01548,2019-K,0.761,0.941,False,False
F01549,2019-K,0.419,1.035,False,False
F01550,2019-K,0.606,0.925,False,False
F01551,2019-K,0.299,0.979,False,True
F01552,2019-K,0.491,1.019,False,False
F01553,2019-K,0.616,1.034,False,False
F01554,2019-K,0.37,0.946,False,True
F01555,2019-K,0.456,0.934,False,True
F01556,2019-K,0.462,0.976,False,False
F01557,2019-K,0.134,0.995,False,True
F01558,2019-K,0.838,1.029,False,False
F01559,2019-K,0.41,0.935,False,False
F01560,2019-K,0.674,1.051,False,False
F01561,2019-K,0.634,1.025,False,False
F01562,2019-K,0.296,0.939,False,True
F01563,2019-K,0.606,0.985,False,False
F01564,2019-K,0.857,0.954,False,False
F01565,2019-K,0.361,0.951,False,True
F01566,2019-K,0.538,1.004,False,False
F01567,2019-K,0.512,1.042,False,False
F01568,2019-K,0.789,1.059,False,False
F01569,2019-K,0.834,1.058,False,False
F01570,2019-K,0.05,0.925,False,True
F01571,2019-K,0.619,1.014,False,False
F01572,2019-K,0.176,1.002,False,True
F01573,2019-K,0.294,1.049,False,True
F01574,2019-K,0.264,0.937,False,True
F01575,2019-K,0.574,1.057,False,False
F01576,2019-K,0.689,0.921,False,False
F01577,2019-K,0.464,0.969,False,False
F01578,2019-K,0.576,1.001,False,False
F01579,2019-K,0.329,0.951,False,True
F01580,2019-K,0.804,1.043,False,False
F01581,2019-K,0.737,1.057,False,False
F01582,2019-K,0.744,0.953,False,False
F01583,2019-K,0.213,1.014,False,True
F01584,2019-K,0.145,0.921,False,True
F01585,2019-K,0.442,1.017,False,False
F01586,2019-K,0.694,1.03,False,False
F01587,2019-K,0.629,0.943,False,False
F01588,2019-K,0.844,1.006,False,False
F01589,2019-K,0.521,1.015,False,False
F01590,2019-K,0.461,0.951,False,False
F01591,2019-K,0.629,0.944,False,False
F01592,2019-K,0.262,0.987,False,True
F01593,2019-K,0.778,1.019,False,False
F01594,2019-K,0.541,0.938,False,False
F01595,2019-K,0.545,1.052,False,False
F01596,2019-K,0.435,0.958,False,False
F01597,2019-K,0.28,0.957,False,True
F01598,2019-K,0.338,1.055,False,True
F01599,2019-K,0.674,0.952,False,False
F01600,2019-K,0.436,1.04,False,False
F01601,2019-K,0.345,0.94,False,True
F01602,2019-K,0.402,1.058,False,False
F01603,2019-K,0.556,1.006,False,False
F01604,2019-K,0.707,1.006,False,False
F01605,2019-K,0.312,0.924,False,True
F01606,2019-K,0.705,1.004,False,False
F01607,2019-K,0.714,0.931,False,False
F01608,2019-K,0.445,0.927,False,False
F01609,2019-K,0.37,0.955,False,True
F01610,2019-K,0.742,1.044,False,False
F01611,2019-K,0.056,0.974,False,True
F01612,2019-K,0.693,0.956,False,False
F01613,2019-K,0.388,0.945,False,True
F01614,2019-K,0.399,1.0,False,True
F01615,2019-K,0.532,0.923,False,False
F01616,2019-K,0.426,0.972,False,False
F01617,2019-K,0.795,0.998,False,False
F01618,2019-K,0.309,1.044,False,True
F01619,2019-K,0.565,0.928,False,False
F01620,2019-K,0.482,1.054,False,False
F01621,2019-K,0.255,0.934,False,True
F01622,2019-K,0.093,0.964,False,True
F01623,2019-K,0.269,1.037,False,True
F01624,2019-K,0.636,0.973,False,False
F01625,2019-K,0.458,0.943,False,False
F01626,2019-K,0.189,0.964,False,True
F01627,2019-K,0.092,1.034,False,True
F01628,2019-K,0.319,0.929,False,False
F01629,2019-K,0.396,1.049,False,True
F01630,2019-K,0.641,0.936,False,False
F01631,2019-K,0.072,1.015,False,True
F01632,2019-K,0.359,0.947,False,True
F01633,2019-K,0.533,0.955,False,False
F01634,2019-K,0.02,1.037,False,True
F01635,2019-K,0.17,0.951,False,True
F01636,2019-K,0.608,0.995,False,False
F01637,2019-K,0.6,0.962,False,False
F01638,2019-K,0.614,0.989,False,False
F01639,2019-K,0.396,0.98,False,True
F01640,2019-K,0.581,0.956,False,False
F01641,2019-K,0.549,0.931,False,False
F01642,2019-K,0.663,1.019,False,False
F01643,2019-K,0.593,0.945,False,False
F01644,2019-K,0.75,0.943,False,False
F01645,2019-K,0.713,1.029,False,False
F01646,2019-K,0.224,0.969,False,True
F01647,2019-K,0.63,0.997,False,False
F01648,2019-K,0.483,0.969,False,False
F01649,2019-K,0.608,0.996,False,False
F01650,2019-K,0.478,0.942,False,False
F01651,2019-K,0.361,1.019,False,True
F01652,2019-K,0.321,1.009,False,True
F01653,2019-K,0.545,0.977,False,False
F01654,2019-K,0.562,0.931,False,False
F01655,2019-K,0.357,0.987,False,False
F01656,2019-K,0.53,0.956,False,False
F01657,2019-K,0.224,1.058,False,True
F01658,2019-K,0.687,0.931,False,False
F01659,2019-K,0.472,0.933,False,False
F01660,2019-K,0.725,1.005,False,False
F01661,2019-K,0.292,1.007,False,False
F01662,2019-K,0.548,0.979,False,False
F01663,2019-K,0.093,1.052,False,True
