TXN_ID,TXN_DATE,FARMER_ID,TXN_TYPE,ITEM,QTY,RATE_INR,AMOUNT_INR,GID
T001391,10/27/2019,F01340,FPO_DELIVERY,Paddy (Rainfed),485.00 kgs,INR 2030.00,INR 9845.50,BRD-NSK
T001392,11/17/2019,F01340,D,Paddy (Rainfed),342.00 kgs,INR 2030.00,INR 6942.60,BRD-NSK
T001393,10/07/2019,F01340,D,paddy,"5,631.00 kgs",INR 2030.00,INR 114309.30,BRD-NSK
T001394,07/02/2019,F01340,I,Urea,276 kgs,INR 29.04,INR 8015.04,BRD-NSK
T001395,06/02/2019,F01340,INPUT_PURCHASE,Fertilizer,229 kg,INR 47.74,INR 10932.46,BRD-NSK
T001396,07/02/2019,F01340,I,NPK 10:26:26,169 kg,INR 40.70,INR 6878.30,BRD-NSK
T001397,06/16/2019,F01340,INPUT_PURCHASE,DAP,279 kg,INR 59.39,INR 16569.81,BRD-NSK
T001398,11/14/2019,F01341,FPO_DELIVERY,PADDY,"5,776.00 kgs",INR 2250.00,INR 129960.00,BRD-NSK
T001399,06/01/2019,F01341,FERT_PURCHASE,Seeds,117 kg,INR 103.82,INR 12146.94,BRD-NSK
T001400,11/26/2019,F01342,FPO_DELIVERY,Paddy (Rainfed),2648 kg,INR 2260.00,INR 59844.80,BRD-NSK
T001401,10/29/2019,F01342,FPO_DELIVERY,paddy,"1,457.00 kgs",INR 2260.00,₹ N/A,BRD-NSK
T001402,06/23/2019, F01342 ,I,DAP,84 kgs,INR 53.04,INR 4455.36,BRD-NSK
T001403,06/13/2019,F01342,Input Purchase,PPC,77 kgs,INR 509.13,INR 39203.01,BRD-NSK
T001404,06/04/2019,F01342,INPUT_PURCHASE,DAP,314 kgs,INR 59.29,INR 18617.06,BRD-NSK
T001405,10/02/2019,F01343,FPO_DELIVERY,Sona Masoori Paddy,971.00 kgs,INR 2035.00,INR 19759.85,BRD-NSK
T001406,10/31/2019,F01343,D,Sona Masoori Paddy,2132 kg,INR 2035.00,INR 43386.20,BRD-NSK
T001407,10/12/2019,F01344,D,Paddy,853.00 kgs,INR 2150.00,INR 18339.50,BRD-NSK
T001408,10/29/2019,F01344,D,paddy,1846 kg,INR 2150.00,INR 39689.00,BRD-NSK
T001409,07/06/2019,F01344,I,PP chemicals,151 kgs,INR 697.73,INR 105357.23,BRD-NSK
T001410,11/21/2019,F01345,FPO_DELIVERY,paddy,459 kg,INR 2205.00,INR 10120.95,BRD-NSK
T001411,10/08/2019,F01345,DELIVERY,PADDY,"1,907.00 kgs",INR 2205.00,INR 42049.35,BRD-NSK
T001412,07/10/2019,F01345,I,Bio-pesticide,277 kg,INR 191.68,INR 53095.36,BRD-NSK
T001413,06/12/2019,F01345,I,DAP,128 kgs,INR 30.61,INR 3918.08,BRD-NSK
T001414,07/10/2019,F01345,I,FERTILIZER 50kg bag,202 kg,INR 58.66,INR 11849.32,BRD-NSK
T001415,07/14/2019,f01345,I,Hybrid Seeds,195 kgs,INR 82.62,INR 16110.90,BRD-NSK
T001416,10/22/2019,f01346,DELIVERY,Paddy,2454 kg,INR 2210.00,INR 54233.40,BRD-NSK
T001417,07/11/2019,F01346,FERT_PURCHASE,Seeds,117 kgs,INR 119.84,INR 14021.28,BRD-NSK
T001418,11/28/2019,F01347,delivery,Paddy (Rainfed),514.00 kgs,INR 2165.00,INR 11128.10,BRD-NSK
T001419,11/20/2019,F01347,D,Paddy (Rainfed),877.00 kgs,INR 2165.00,INR 18987.05,BRD-NSK
T001420,11/02/2019,F01347,delivery,Sona Masoori Paddy,"1,392.00 kgs",INR 2165.00,INR 30136.80,BRD-NSK
T001421,07/04/2019,F01347,Input Purchase,DAP,106 kg,INR 32.91,INR 3488.46,BRD-NSK
T001422,07/05/2019,F01347,INPUT_PURCHASE,DAP,34 kg,INR 41.99,INR 1427.66,BRD-NSK
T001423,07/15/2019,f01347,INPUT_PURCHASE,Seeds,224 kg,INR 105.01,INR 23522.24,BRD-NSK
T001424,11/12/2019,F01348,DELIVERY,Paddy (Rainfed),3684 kg,INR 2305.00,INR 84916.20,BRD-NSK
T001425,06/27/2019,F01348,INPUT_PURCHASE,PPC,76 kgs,INR 685.69,INR 52112.44,BRD-NSK
T001426,06/12/2019,F01348,I,Urea,245 kgs,INR 53.74,INR 13166.30,BRD-NSK
T001427,11/06/2019,F01349,DELIVERY,paddy,773.00 kgs,INR 2195.00,INR 16967.35,BRD-NSK
T001428,10/15/2019,f01349,FPO_DELIVERY,Paddy (Rainfed),848.00 kgs,INR 2195.00,INR 18613.60,BRD-NSK
T001429,07/15/2019,F01349,FERT_PURCHASE,NPK 10:26:26,201 kg,INR 50.42,INR 10134.42,BRD-NSK
T001430,06/29/2019,F01349,I,Seeds,234 kg,INR 114.48,INR 26788.32,BRD-NSK
T001431,10/04/2019,F01350,delivery,paddy,144.00 kgs,INR 2310.00,INR 3326.40,BRD-NSK
T001432,11/27/2019, F01350 ,D,Paddy,"1,368.00 kgs",INR 2310.00,INR 31600.80,BRD-NSK
T001433,06/28/2019, F01350 ,input,Seeds,263 kgs,INR 122.62,INR 32249.06,BRD-NSK
T001434,06/26/2019,F01350,FERT_PURCHASE,Hybrid Seeds,48 kgs,INR 119.73,INR 5747.04,BRD-NSK
T001435,10/11/2019,F01351,delivery,Paddy,"2,479.00 kgs",INR 2130.00,INR 52802.70,BRD-NSK
T001436,11/16/2019,F01351,D,Sona Masoori Paddy,352.00 kgs,INR 2130.00,INR 7497.60,BRD-NSK
T001437,07/11/2019,F01351,Input Purchase,NPK 10:26:26,177 kg,INR 39.44,INR 6980.88,BRD-NSK
T001438,10/11/2019,F01351,LOAN_REPAY,EMI,,,INR 2700.00,BRD-NSK
T001439,08/19/2019,F01351,Loan Repayment,EMI,,,INR 4600.00,BRD-NSK
T001440,10/06/2019,f01352,D,Paddy,"3,299.00 kgs",INR 2205.00,INR 72742.95,BRD-NSK
T001441,11/22/2019,f01352,delivery,Sona Masoori Paddy,1669 kg,INR 2205.00,INR 36801.45,BRD-NSK
T001442,07/13/2019,F01352,Input Purchase,DAP,26 kg,INR 41.57,INR 1080.82,BRD-NSK
T001443,06/11/2019,F01352,INPUT_PURCHASE,Hybrid Seeds,239 kgs,INR 46.91,INR 11211.49,BRD-NSK
T001444,10/12/2019,F01353,D,PADDY,123.00 kgs,INR 2265.00,INR 2785.95,BRD-NSK
T001445,11/25/2019,F01353,FPO_DELIVERY,paddy,"3,662.00 kgs",INR 2265.00,INR 82944.30,BRD-NSK
T001446,11/18/2019,F01353,LOAN_REPAY,EMI,,,INR 4200.00,BRD-NSK
T001447,06/06/2019,F01353,LOAN_REPAY,Loan Repayment,,,INR 6900.00,BRD-NSK
T001448,10/02/2019,F01354,FPO_DELIVERY,Paddy (Rainfed),3484 kg,INR 2165.00,INR 75428.60,BRD-NSK
T001449,11/12/2019,F01354,delivery,Paddy,2195 kg,INR 2165.00,INR 47521.75,BRD-NSK
T001450,10/25/2019,F01355,D,Sona Masoori Paddy,700.00 kgs,INR 2140.00,INR 14980.00,BRD-NSK
T001451,10/29/2019,F01355,DELIVERY,Paddy,4774 kg,INR 2140.00,INR 102163.60,BRD-NSK
T001452,06/25/2019,F01355,FERT_PURCHASE,FERTILIZER 50kg bag,306 kg,INR 50.07,INR 15321.42,BRD-NSK
T001453,06/04/2019,F01355,input,Hybrid Seeds,157 kg,INR 91.88,INR 14425.16,BRD-NSK
T001454,07/08/2019,F01355,FERT_PURCHASE,Urea,182 kg,INR 52.01,INR 9465.82,BRD-NSK
T001455,07/01/2019,F01355,I,FERTILIZER 50kg bag,128 kgs,INR 31.63,INR 4048.64,BRD-NSK
T001456,11/18/2019,F01356,delivery,Paddy (Rainfed),"1,563.00 kgs",INR 2175.00,INR 33995.25,BRD-NSK
T001457,10/21/2019,F01356,D,Sona Masoori Paddy,"1,634.00 kgs",INR 2175.00,INR 35539.50,BRD-NSK
T001458,11/16/2019,F01356,FPO_DELIVERY,Paddy,2589 kg,INR 2175.00,INR 56310.75,BRD-NSK
T001459,11/12/2019,F01357,D,Paddy (Rainfed),"2,624.00 kgs",INR 2120.00,INR 55628.80,BRD-NSK
T001460,06/18/2019,F01357,INPUT_PURCHASE,Urea,272 kg,INR 34.40,INR 9356.80,BRD-NSK
T001461,07/09/2019,f01357,Input Purchase,Seeds,156 kg,INR 116.86,INR 18230.16,BRD-NSK
T001462,06/13/2019,F01357,FERT_PURCHASE,SEEDS,196 kgs,INR 124.95,INR 24490.20,BRD-NSK
T001463,06/15/2019,F01357,Input Purchase,Hybrid Seeds,162 kg,INR 54.92,INR 8897.04,BRD-NSK
T001464,11/12/2019,f01358,D,Paddy (Rainfed),499 kg,INR 2160.00,INR 10778.40,BRD-NSK
T001465,10/21/2019,F01358,D,Paddy (Rainfed),71.00 kgs,INR 2160.00,INR 1533.60,BRD-NSK
T001466,11/06/2019,F01359,D,Paddy,"2,678.00 kgs",INR 2040.00,INR 54631.20,BRD-NSK
T001467,06/30/2019,F01359,FERT_PURCHASE,Seeds,208 kg,INR 78.79,INR 16388.32,BRD-NSK
T001468,10/25/2019,F01360,D,Sona Masoori Paddy,1922 kg,INR 2235.00,INR 42956.70,BRD-NSK
T001469,11/07/2019,F01361,D,paddy,4824 kg,INR 2145.00,INR 103474.80,BRD-NSK
T001470,06/09/2019,F01361,FERT_PURCHASE,Hybrid Seeds,34 kgs,INR 100.88,INR 3429.92,BRD-NSK
T001471,11/28/2019,F01362,delivery,Paddy (Rainfed),"1,986.00 kgs",INR 2150.00,INR 42699.00,BRD-NSK
T001472,11/06/2019,F01362,Delivery,paddy,"3,478.00 kgs",INR 2150.00,INR 74777.00,BRD-NSK
T001473,10/11/2019,F01362,D,PADDY,1991 kg,INR 2150.00,INR 42806.50,BRD-NSK
T001474,06/27/2019,F01362,input,Bio-pesticide,59 kg,INR 506.60,INR 29889.40,BRD-NSK
T001475,06/21/2019,F01362,INPUT_PURCHASE,Bio-pesticide,147 kgs,INR 636.85,INR 93616.95,BRD-NSK
T001476,07/07/2019,F01362,INPUT_PURCHASE,SEEDS,295 kg,INR 90.78,INR 26780.10,BRD-NSK
T001477,11/17/2019,F01363,FPO_DELIVERY,paddy,"1,902.00 kgs",INR 2210.00,INR 42034.20,BRD-NSK
T001478,10/28/2019,f01363,DELIVERY,Paddy,784 kg,INR 2210.00,INR 17326.40,BRD-NSK
T001479,06/04/2019,F01363,Input Purchase,Fertilizer,134 kg,INR 50.43,INR 6757.62,BRD-NSK
T001480,06/03/2019,F01363,FERT_PURCHASE,Hybrid Seeds,197 kg,INR 114.56,INR 22568.32,BRD-NSK
T001481,10/07/2019,F01364,DELIVERY,PADDY,750.00 kgs,INR 2195.00,INR 16462.50,BRD-NSK
T001482,11/21/2019,F01364,D,Paddy,"4,076.00 kgs",INR 2195.00,INR 89468.20,BRD-NSK
T001483,06/24/2019,f01364,input,Urea,266 kg,INR 59.64,INR 15864.24,BRD-NSK
T001484,11/25/2019,F01365,D,paddy,1067 kg,INR 2120.00,INR 22620.40,BRD-NSK
T001485,11/14/2019,F01365,DELIVERY,paddy,"2,999.00 kgs",INR 2120.00,INR 63578.80,BRD-NSK
T001486,11/25/2019,F01366,DELIVERY,Paddy (Rainfed),1959 kg,INR 2315.00,INR 45350.85,BRD-NSK
T001487,11/03/2019,F01366,DELIVERY,Paddy,4374 kg,INR 2315.00,INR 101258.10,BRD-NSK
T001488,10/21/2019,F01367,D,Paddy (Rainfed),3157 kg,INR 2225.00,INR 70243.25,BRD-NSK
T001489,10/03/2019,F01367,DELIVERY,Paddy (Rainfed),971.00 kgs,INR 2225.00,INR 21604.75,BRD-NSK
T001490,06/15/2019,F01367,input,Fertilizer,112 kg,INR 54.35,INR 6087.20,BRD-NSK
T001491,06/08/2019,F01367,Input Purchase,Hybrid Seeds,117 kg,INR 73.33,INR 8579.61,BRD-NSK
T001492,08/18/2019,F01367,Loan Repayment,EMI,,,₹ N/A,BRD-NSK
T001493,11/23/2019, F01368 ,DELIVERY,PADDY,75.00 kgs,INR 2200.00,INR 1650.00,BRD-NSK
T001494,11/24/2019,F01368,Delivery,PADDY,"1,089.00 kgs",INR 2200.00,INR 23958.00,BRD-NSK
T001495,11/18/2019,F01369,FPO_DELIVERY,Paddy (Rainfed),1850 kg,INR 2085.00,INR 38572.50,BRD-NSK
T001496,07/10/2019,F01369,Input Purchase,NPK 10:26:26,226 kg,INR 51.43,INR 11623.18,BRD-NSK
